content_key,response_index,synthetic_type,criterion_key,validator_A_label,validator_A_evidence_quote,validator_B_label,validator_B_evidence_quote,agreement,lead_adjudication,final_gold_label
APBIO-FRQ-L-001,0,fully_correct,a_i,,,,,,,
APBIO-FRQ-L-001,0,fully_correct,a_ii,,,,,,,
APBIO-FRQ-L-001,0,fully_correct,b,,,,,,,
APBIO-FRQ-L-001,0,fully_correct,c,,,,,,,
APBIO-FRQ-L-001,0,fully_correct,d,,,,,,,
APBIO-FRQ-L-001,1,partially_correct,a_i,,,,,,,
APBIO-FRQ-L-001,1,partially_correct,a_ii,,,,,,,
APBIO-FRQ-L-001,1,partially_correct,b,,,,,,,
APBIO-FRQ-L-001,1,partially_correct,c,,,,,,,
APBIO-FRQ-L-001,1,partially_correct,d,,,,,,,
APBIO-FRQ-L-001,2,borderline,a_i,,,,,,,
APBIO-FRQ-L-001,2,borderline,a_ii,,,,,,,
APBIO-FRQ-L-001,2,borderline,b,,,,,,,
APBIO-FRQ-L-001,2,borderline,c,,,,,,,
APBIO-FRQ-L-001,2,borderline,d,,,,,,,
APBIO-FRQ-L-001,3,subtly_wrong,a_i,,,,,,,
APBIO-FRQ-L-001,3,subtly_wrong,a_ii,,,,,,,
APBIO-FRQ-L-001,3,subtly_wrong,b,,,,,,,
APBIO-FRQ-L-001,3,subtly_wrong,c,,,,,,,
APBIO-FRQ-L-001,3,subtly_wrong,d,,,,,,,
APBIO-FRQ-L-009,0,fully_correct,a,,,,,,,
APBIO-FRQ-L-009,0,fully_correct,b,,,,,,,
APBIO-FRQ-L-009,0,fully_correct,c,,,,,,,
APBIO-FRQ-L-009,0,fully_correct,d,,,,,,,
APBIO-FRQ-L-009,1,partially_correct,a,,,,,,,
APBIO-FRQ-L-009,1,partially_correct,b,,,,,,,
APBIO-FRQ-L-009,1,partially_correct,c,,,,,,,
APBIO-FRQ-L-009,1,partially_correct,d,,,,,,,
APBIO-FRQ-L-009,2,borderline,a,,,,,,,
APBIO-FRQ-L-009,2,borderline,b,,,,,,,
APBIO-FRQ-L-009,2,borderline,c,,,,,,,
APBIO-FRQ-L-009,2,borderline,d,,,,,,,
APBIO-FRQ-L-009,3,subtly_wrong,a,,,,,,,
APBIO-FRQ-L-009,3,subtly_wrong,b,,,,,,,
APBIO-FRQ-L-009,3,subtly_wrong,c,,,,,,,
APBIO-FRQ-L-009,3,subtly_wrong,d,,,,,,,
APBIO-FRQ-L-017,0,fully_correct,a,,,,,,,
APBIO-FRQ-L-017,0,fully_correct,b,,,,,,,
APBIO-FRQ-L-017,0,fully_correct,c,,,,,,,
APBIO-FRQ-L-017,0,fully_correct,d,,,,,,,
APBIO-FRQ-L-017,1,partially_correct,a,,,,,,,
APBIO-FRQ-L-017,1,partially_correct,b,,,,,,,
APBIO-FRQ-L-017,1,partially_correct,c,,,,,,,
APBIO-FRQ-L-017,1,partially_correct,d,,,,,,,
APBIO-FRQ-L-017,2,borderline,a,,,,,,,
APBIO-FRQ-L-017,2,borderline,b,,,,,,,
APBIO-FRQ-L-017,2,borderline,c,,,,,,,
APBIO-FRQ-L-017,2,borderline,d,,,,,,,
APBIO-FRQ-L-017,3,subtly_wrong,a,,,,,,,
APBIO-FRQ-L-017,3,subtly_wrong,b,,,,,,,
APBIO-FRQ-L-017,3,subtly_wrong,c,,,,,,,
APBIO-FRQ-L-017,3,subtly_wrong,d,,,,,,,
APBIO-FRQ-L-025,0,fully_correct,a,,,,,,,
APBIO-FRQ-L-025,0,fully_correct,b,,,,,,,
APBIO-FRQ-L-025,0,fully_correct,c,,,,,,,
APBIO-FRQ-L-025,0,fully_correct,d,,,,,,,
APBIO-FRQ-L-025,1,partially_correct,a,,,,,,,
APBIO-FRQ-L-025,1,partially_correct,b,,,,,,,
APBIO-FRQ-L-025,1,partially_correct,c,,,,,,,
APBIO-FRQ-L-025,1,partially_correct,d,,,,,,,
APBIO-FRQ-L-025,2,borderline,a,,,,,,,
APBIO-FRQ-L-025,2,borderline,b,,,,,,,
APBIO-FRQ-L-025,2,borderline,c,,,,,,,
APBIO-FRQ-L-025,2,borderline,d,,,,,,,
APBIO-FRQ-L-025,3,subtly_wrong,a,,,,,,,
APBIO-FRQ-L-025,3,subtly_wrong,b,,,,,,,
APBIO-FRQ-L-025,3,subtly_wrong,c,,,,,,,
APBIO-FRQ-L-025,3,subtly_wrong,d,,,,,,,
APBIO-FRQ-L-033,0,fully_correct,a_i,,,,,,,
APBIO-FRQ-L-033,0,fully_correct,a_ii,,,,,,,
APBIO-FRQ-L-033,0,fully_correct,b,,,,,,,
APBIO-FRQ-L-033,0,fully_correct,c,,,,,,,
APBIO-FRQ-L-033,0,fully_correct,d,,,,,,,
APBIO-FRQ-L-033,1,partially_correct,a_i,,,,,,,
APBIO-FRQ-L-033,1,partially_correct,a_ii,,,,,,,
APBIO-FRQ-L-033,1,partially_correct,b,,,,,,,
APBIO-FRQ-L-033,1,partially_correct,c,,,,,,,
APBIO-FRQ-L-033,1,partially_correct,d,,,,,,,
APBIO-FRQ-L-033,2,borderline,a_i,,,,,,,
APBIO-FRQ-L-033,2,borderline,a_ii,,,,,,,
APBIO-FRQ-L-033,2,borderline,b,,,,,,,
APBIO-FRQ-L-033,2,borderline,c,,,,,,,
APBIO-FRQ-L-033,2,borderline,d,,,,,,,
APBIO-FRQ-L-033,3,subtly_wrong,a_i,,,,,,,
APBIO-FRQ-L-033,3,subtly_wrong,a_ii,,,,,,,
APBIO-FRQ-L-033,3,subtly_wrong,b,,,,,,,
APBIO-FRQ-L-033,3,subtly_wrong,c,,,,,,,
APBIO-FRQ-L-033,3,subtly_wrong,d,,,,,,,
