content_key,synthetic_type,criterion_key,validator_A_label,validator_A_evidence,validator_B_label,validator_B_evidence,agreement,lead_adjudication,final_gold_label
APCHEM-FRQ-L-001,fully_correct,radius_ranking,,,,,,,
APCHEM-FRQ-L-001,fully_correct,radius_justification,,,,,,,
APCHEM-FRQ-L-001,fully_correct,ie_ranking,,,,,,,
APCHEM-FRQ-L-001,fully_correct,ie_justification,,,,,,,
APCHEM-FRQ-L-001,borderline,radius_ranking,,,,,,,
APCHEM-FRQ-L-001,borderline,radius_justification,,,,,,,
APCHEM-FRQ-L-001,borderline,ie_ranking,,,,,,,
APCHEM-FRQ-L-001,borderline,ie_justification,,,,,,,
APCHEM-FRQ-L-001,partially_correct,radius_ranking,,,,,,,
APCHEM-FRQ-L-001,partially_correct,radius_justification,,,,,,,
APCHEM-FRQ-L-001,partially_correct,ie_ranking,,,,,,,
APCHEM-FRQ-L-001,partially_correct,ie_justification,,,,,,,
APCHEM-FRQ-L-001,subtly_wrong,radius_ranking,,,,,,,
APCHEM-FRQ-L-001,subtly_wrong,radius_justification,,,,,,,
APCHEM-FRQ-L-001,subtly_wrong,ie_ranking,,,,,,,
APCHEM-FRQ-L-001,subtly_wrong,ie_justification,,,,,,,
APCHEM-FRQ-L-011,fully_correct,osmotic_pressure_1,,,,,,,
APCHEM-FRQ-L-011,fully_correct,osmotic_pressure_2,,,,,,,
APCHEM-FRQ-L-011,fully_correct,van_hoff_explanation,,,,,,,
APCHEM-FRQ-L-011,fully_correct,sensitivity_explanation,,,,,,,
APCHEM-FRQ-L-011,borderline,osmotic_pressure_1,,,,,,,
APCHEM-FRQ-L-011,borderline,osmotic_pressure_2,,,,,,,
APCHEM-FRQ-L-011,borderline,van_hoff_explanation,,,,,,,
APCHEM-FRQ-L-011,borderline,sensitivity_explanation,,,,,,,
APCHEM-FRQ-L-011,partially_correct,osmotic_pressure_1,,,,,,,
APCHEM-FRQ-L-011,partially_correct,osmotic_pressure_2,,,,,,,
APCHEM-FRQ-L-011,partially_correct,van_hoff_explanation,,,,,,,
APCHEM-FRQ-L-011,partially_correct,sensitivity_explanation,,,,,,,
APCHEM-FRQ-L-011,subtly_wrong,osmotic_pressure_1,,,,,,,
APCHEM-FRQ-L-011,subtly_wrong,osmotic_pressure_2,,,,,,,
APCHEM-FRQ-L-011,subtly_wrong,van_hoff_explanation,,,,,,,
APCHEM-FRQ-L-011,subtly_wrong,sensitivity_explanation,,,,,,,
APCHEM-FRQ-L-021,fully_correct,moles_co2,,,,,,,
APCHEM-FRQ-L-021,fully_correct,mass_caco3,,,,,,,
APCHEM-FRQ-L-021,fully_correct,percent_purity,,,,,,,
APCHEM-FRQ-L-021,borderline,moles_co2,,,,,,,
APCHEM-FRQ-L-021,borderline,mass_caco3,,,,,,,
APCHEM-FRQ-L-021,borderline,percent_purity,,,,,,,
APCHEM-FRQ-L-021,partially_correct,moles_co2,,,,,,,
APCHEM-FRQ-L-021,partially_correct,mass_caco3,,,,,,,
APCHEM-FRQ-L-021,partially_correct,percent_purity,,,,,,,
APCHEM-FRQ-L-021,subtly_wrong,moles_co2,,,,,,,
APCHEM-FRQ-L-021,subtly_wrong,mass_caco3,,,,,,,
APCHEM-FRQ-L-021,subtly_wrong,percent_purity,,,,,,,
APCHEM-FRQ-L-031,fully_correct,volume_shift,,,,,,,
APCHEM-FRQ-L-031,fully_correct,temperature_shift,,,,,,,
APCHEM-FRQ-L-031,fully_correct,keq_distinction,,,,,,,
APCHEM-FRQ-L-031,borderline,volume_shift,,,,,,,
APCHEM-FRQ-L-031,borderline,temperature_shift,,,,,,,
APCHEM-FRQ-L-031,borderline,keq_distinction,,,,,,,
APCHEM-FRQ-L-031,partially_correct,volume_shift,,,,,,,
APCHEM-FRQ-L-031,partially_correct,temperature_shift,,,,,,,
APCHEM-FRQ-L-031,partially_correct,keq_distinction,,,,,,,
APCHEM-FRQ-L-031,subtly_wrong,volume_shift,,,,,,,
APCHEM-FRQ-L-031,subtly_wrong,temperature_shift,,,,,,,
APCHEM-FRQ-L-031,subtly_wrong,keq_distinction,,,,,,,
APCHEM-FRQ-L-041,fully_correct,first_step_calc,,,,,,,
APCHEM-FRQ-L-041,fully_correct,a2_estimate,,,,,,,
APCHEM-FRQ-L-041,fully_correct,verification,,,,,,,
APCHEM-FRQ-L-041,borderline,first_step_calc,,,,,,,
APCHEM-FRQ-L-041,borderline,a2_estimate,,,,,,,
APCHEM-FRQ-L-041,borderline,verification,,,,,,,
APCHEM-FRQ-L-041,partially_correct,first_step_calc,,,,,,,
APCHEM-FRQ-L-041,partially_correct,a2_estimate,,,,,,,
APCHEM-FRQ-L-041,partially_correct,verification,,,,,,,
APCHEM-FRQ-L-041,subtly_wrong,first_step_calc,,,,,,,
APCHEM-FRQ-L-041,subtly_wrong,a2_estimate,,,,,,,
APCHEM-FRQ-L-041,subtly_wrong,verification,,,,,,,
