item_id,archetype,frq_source_file,frq_packet_section,rubric_status,hdr_image_path,hdr_image_version,hdr_image_original_filename_note,gold_label_status,gold_label_source
APSTATS-HDG-2026-GRAPH-001,boxplot_construction_interpretation,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-001,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-001__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-001
APSTATS-HDG-2026-GRAPH-002,segmented_bar_graph_construction,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-002,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-002__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-002
APSTATS-HDG-2026-GRAPH-003,mosaic_plot_interpretation,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-003,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-003__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-003
APSTATS-HDG-2026-GRAPH-004,dotplot_distribution_shape,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-004,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-004__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-004
APSTATS-HDG-2026-GRAPH-005,scatterplot_regression_context,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-005,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-005__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-005
APSTATS-HDG-2026-GRAPH-006,graph_annotation_marking_value,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-006,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-006__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-006
APSTATS-HDG-2026-GRAPH-007,boxplot_construction_interpretation,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-007,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-007__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-007
APSTATS-HDG-2026-GRAPH-008,segmented_bar_graph_construction,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-008,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-008__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-008
APSTATS-HDG-2026-GRAPH-009,mosaic_plot_interpretation,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-009,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-009__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-009
APSTATS-HDG-2026-GRAPH-010,dotplot_distribution_shape,docs/research/ap_statistics_graph_response_seed_2026_07_02/ap_statistics_graph_response_seed_2026_07_02.jsonl,frq_packets.md#apstats-hdg-2026-graph-010,proposed_frozen_pending_approval,docs/research/ap_statistics_hdr_grading_experiment_2026_07_06/images/APSTATS-HDG-2026-GRAPH-010__hdr_photo_v2.jpeg,v2,renamed from a generic IMG_#### camera filename; see README provenance table,claude_proposed_pending_approval,proposed_gold_labels.jsonl#APSTATS-HDG-2026-GRAPH-010
