content_key,item_type,difficulty,basis,rationale
apcalcab-frq-001,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-002,frq,Hard,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=1, Hard=2; uncued=0."
apcalcab-frq-003,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=2, Hard=0; uncued=0."
apcalcab-frq-004,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=6, Hard=0; uncued=2."
apcalcab-frq-005,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=6, Hard=0; uncued=2."
apcalcab-frq-006,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=6, Hard=0; uncued=1."
apcalcab-frq-007,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=7, Hard=0; uncued=1."
apcalcab-frq-008,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-009,frq,Hard,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=3, Hard=4; uncued=0."
apcalcab-frq-010,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=5, Hard=0; uncued=1."
apcalcab-frq-011,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-012,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=7, Hard=1; uncued=0."
apcalcab-frq-015,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=8, Hard=1; uncued=0."
apcalcab-frq-016,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-017,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=6."
apcalcab-frq-018,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=2; uncued=4."
apcalcab-frq-019,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=7, Hard=0; uncued=2."
apcalcab-frq-020,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=7, Hard=0; uncued=2."
apcalcab-frq-022,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=5, Hard=0; uncued=4."
apcalcab-frq-023,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=7, Hard=0; uncued=2."
apcalcab-frq-024,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=4, Hard=1; uncued=4."
apcalcab-frq-025,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=4, Hard=0; uncued=3."
apcalcab-frq-026,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=6, Hard=0; uncued=3."
apcalcab-frq-027,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=6, Hard=0; uncued=3."
apcalcab-frq-028,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=6, Hard=0; uncued=3."
apcalcab-frq-030,frq,Easy,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=4, Medium=2, Hard=1; uncued=2."
apcalcab-frq-031,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=5, Hard=1; uncued=0."
apcalcab-frq-032,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=6, Hard=1; uncued=1."
apcalcab-frq-033,frq,Easy,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=2, Hard=0; uncued=4."
apcalcab-frq-034,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=6, Hard=0; uncued=3."
apcalcab-frq-035,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=7, Hard=0; uncued=2."
apcalcab-frq-036,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=5, Hard=0; uncued=4."
apcalcab-frq-np2-001,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-np2-002,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=4, Hard=0; uncued=0."
apcalcab-frq-np2-003,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=3, Hard=1; uncued=0."
apcalcab-frq-np2-004,frq,Hard,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=1, Hard=3; uncued=0."
apcalcab-frq-np2-005,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=5, Hard=1; uncued=0."
apcalcab-frq-np2-006,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-np2-007,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=3, Hard=0; uncued=0."
apcalcab-frq-np2-008,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=3, Hard=0; uncued=0."
apcalcab-frq-np2-009,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=4, Hard=0; uncued=0."
apcalcab-frq-np2-010,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=4, Hard=0; uncued=0."
apcalcab-frq-u13-001,frq,Easy,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=6, Medium=1, Hard=1; uncued=1."
apcalcab-frq-u13-002,frq,Hard,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=1, Hard=2; uncued=4."
apcalcab-frq-u13-003,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=7, Hard=0; uncued=1."
apcalcab-frq-u13-004,frq,Easy,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=4, Medium=1, Hard=0; uncued=4."
apcalcab-frq-u13-005,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=3, Hard=2; uncued=1."
apcalcab-frq-u13-006,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=8, Hard=0; uncued=0."
apcalcab-frq-u13-007,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=7, Hard=0; uncued=1."
apcalcab-frq-u13-008,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=6, Hard=0; uncued=2."
apcalcab-frq-u13-009,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=6, Hard=1; uncued=0."
apcalcab-frq-u13-010,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=4, Hard=0; uncued=2."
apcalcab-frq-u13-011,frq,Hard,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=2, Hard=4; uncued=2."
apcalcab-frq-u13-012,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=4, Hard=2; uncued=1."
apcalcab-frq-u13-013,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=0, Medium=8, Hard=0; uncued=1."
apcalcab-frq-u13-014,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=5, Hard=1; uncued=0."
apcalcab-frq-u13-015,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=1, Medium=3, Hard=0; uncued=5."
apcalcab-frq-u13-016,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=3, Medium=6, Hard=0; uncued=0."
apcalcab-frq-u13-017,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=3, Hard=1; uncued=3."
apcalcab-frq-u13-018,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=5, Hard=0; uncued=2."
apcalcab-frq-u13-019,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=4, Hard=0; uncued=3."
apcalcab-frq-u13-020,frq,Medium,calculus_regex_cue,"Modal criterion cue tier with upward tie-break: Easy=2, Medium=5, Hard=2; uncued=0."
apcalcab-mcq-001,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-003,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-005,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-006,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-007,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-008,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
