content_key,item_type,difficulty,basis,authored_difficulty
APSTAT-MOD3-E002,frq,Easy,descriptive cues=2,easy
APSTAT-MOD3-E005,frq,Hard,hard cues=1,easy
APSTAT-MOD3-H001-INV,frq,Hard,hard cues=1,hard
APSTAT-MOD4-H001-INV,frq,Hard,hard cues=2,hard
APSTAT-MOD4-M001,frq,Medium,no cue matched - default to Medium (undiscriminated),medium
APSTAT-MOD4-M003,frq,Medium,no cue matched - default to Medium (undiscriminated),medium
APSTAT-MOD4-M004,frq,Easy,descriptive cues=2,medium
APSTAT-MOD5-H001-INV,frq,Hard,hard cues=2,hard
APSTAT-MOD5-M001,frq,Easy,descriptive cues=2,medium
APSTAT-MOD6-H001,frq,Medium,inference/procedure cues=2,hard
APSTAT-MOD6-H002-INV,frq,Medium,inference/procedure cues=3,hard
APSTAT-MOD6-M002,frq,Medium,inference/procedure cues=1,medium
APSTAT-MOD7-H002-INV,frq,Hard,hard cues=2,hard
APSTAT-MOD8-M004,frq,Medium,inference/procedure cues=2,very_hard
APSTATS-HDG-2026-GRAPH-003,frq,Medium,inference/procedure cues=1,
APSTATS-HDG-2026-GRAPH-005,frq,Medium,inference/procedure cues=1,
APSTATS-HDG-2026-GRAPH-007,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-008,frq,Hard,hard cues=1,
APSTATS-HDG-2026-GRAPH-010,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-013,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-014,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-015,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-016,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-017,frq,Easy,descriptive cues=4,
APSTATS-HDG-2026-GRAPH-018,frq,Medium,no cue matched - default to Medium (undiscriminated),
APSTATS-HDG-2026-GRAPH-019,frq,Medium,no cue matched - default to Medium (undiscriminated),
APSTATS-HDG-2026-GRAPH-020,frq,Medium,no cue matched - default to Medium (undiscriminated),
APSTATS-HDG-2026-GRAPH-023,frq,Medium,inference/procedure cues=1,
APSTATS-HDG-2026-GRAPH-025,frq,Medium,no cue matched - default to Medium (undiscriminated),
APSTATS-HDG-2026-GRAPH-027,frq,Medium,no cue matched - default to Medium (undiscriminated),
APSTATS-HDG-2026-GRAPH-028,frq,Easy,descriptive cues=3,
APSTATS-HDG-2026-GRAPH-030,frq,Easy,descriptive cues=2,
APSTATS-HDG-2026-GRAPH-031,frq,Easy,descriptive cues=3,
APSTATS-HDG-2026-GRAPH-033,frq,Medium,inference/procedure cues=1,
APSTATS-SFRQ-001,frq,Easy,descriptive cues=5,Medium
