subject,question,label,max,mean,ratio,task,topic,verb_auto,attr_method
AP Biology,1,A1,1.0,0.64,0.64,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,1,B1,1.0,0.79,0.79,Interpreting and Evaluating Experimental Results,ER Translocation,design,letter
AP Biology,1,B2,1.0,0.16,0.16,Interpreting and Evaluating Experimental Results,ER Translocation,design,letter
AP Biology,1,B3,1.0,0.83,0.83,Interpreting and Evaluating Experimental Results,ER Translocation,design,letter
AP Biology,1,C1,1.0,0.76,0.76,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,C2,1.0,0.89,0.89,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,C3,1.0,0.49,0.49,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,D1,1.0,0.14,0.14,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,1,D2,1.0,0.02,0.02,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,2,A1,1.0,0.5,0.5,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,describe,letter
AP Biology,2,B1,1.0,0.88,0.88,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Biology,2,B2,1.0,0.66,0.66,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Biology,2,B3,1.0,0.63,0.63,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Biology,2,B4,1.0,0.72,0.72,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,use,direct
AP Biology,2,C1,1.0,0.75,0.75,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,use,letter
AP Biology,2,C2,1.0,0.47,0.47,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,use,letter
AP Biology,2,D1,1.0,0.34,0.34,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,find,letter
AP Biology,2,D2,1.0,0.21,0.21,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,find,letter
AP Calculus AB,AB1/BC1,AB1 P1,1.0,0.36,0.36,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,find,sequential
AP Calculus AB,AB1/BC1,AB1 P2,1.0,0.32,0.32,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,direct
AP Calculus AB,AB1/BC1,AB1 P3,1.0,0.57,0.57,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,write,sequential
AP Calculus AB,AB1/BC1,AB1 P4,1.0,0.38,0.38,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,find,sequential
AP Calculus AB,AB1/BC1,AB1 P5,1.0,0.64,0.64,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,direct
