"content_key","criterion_key","points_possible","confidence","confidence_basis","compact_similarity","provenance","status"
"APBIO-FRQ-S-007","a","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.135593","authored_work_order_F","authored"
"APBIO-FRQ-S-010","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.290909","authored_work_order_F","authored"
"APBIO-FRQ-S-011","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.400000","authored_work_order_F","authored"
"APBIO-FRQ-S-016","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.176471","authored_work_order_F","authored"
"APBIO-FRQ-S-020","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.363636","authored_work_order_F","authored"
"APBIO-FRQ-S-020","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.411765","authored_work_order_F","authored"
"APBIO-FRQ-S-021","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.400000","authored_work_order_F","authored"
"APBIO-FRQ-S-021","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.210526","authored_work_order_F","authored"
"APBIO-FRQ-S-021","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.222222","authored_work_order_F","authored"
"APBIO-FRQ-S-021","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.473684","authored_work_order_F","authored"
"APBIO-FRQ-S-023","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.454545","authored_work_order_F","authored"
"APBIO-FRQ-S-023","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.181818","authored_work_order_F","authored"
"APBIO-FRQ-S-023","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.166667","authored_work_order_F","authored"
"APBIO-FRQ-S-025","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.200000","authored_work_order_F","authored"
