"content_key","criterion_key","span_index","similarity_ratio","threshold_band","highest_pair_governs","restatement_justification"
"APBIO-FRQ-S-007","a","2","0.135593","clear","yes",""
"APBIO-FRQ-S-010","b1","6","0.290909","clear","yes",""
"APBIO-FRQ-S-011","a2","2","0.400000","clear","yes",""
"APBIO-FRQ-S-016","a2","2","0.176471","clear","yes",""
"APBIO-FRQ-S-020","a1","2","0.363636","clear","yes",""
"APBIO-FRQ-S-020","a2","4","0.411765","clear","yes",""
"APBIO-FRQ-S-021","a1","0","0.400000","clear","yes",""
"APBIO-FRQ-S-021","a2","2","0.210526","clear","yes",""
"APBIO-FRQ-S-021","b1","6","0.222222","clear","yes",""
"APBIO-FRQ-S-021","b2","8","0.473684","clear","yes",""
"APBIO-FRQ-S-023","a1","0","0.454545","clear","yes",""
"APBIO-FRQ-S-023","a2","2","0.181818","clear","yes",""
"APBIO-FRQ-S-023","b1","7","0.166667","clear","yes",""
"APBIO-FRQ-S-025","a1","2","0.200000","clear","yes",""
"APBIO-FRQ-S-025","a2","4","0.136364","clear","yes",""
"APBIO-FRQ-S-025","b1","8","0.250000","clear","yes",""
"APBIO-FRQ-S-025","b2","10","0.358974","clear","yes",""
"APBIO-FRQ-S-026","a1","2","0.142857","clear","yes",""
"APBIO-FRQ-S-026","a2","4","0.210526","clear","yes",""
"APBIO-FRQ-S-026","b1","8","0.205128","clear","yes",""
"APBIO-FRQ-S-026","b2","10","0.057143","clear","yes",""
"APBIO-FRQ-S-028","b1","6","0.166667","clear","yes",""
"APBIO-FRQ-S-028","b2","8","0.222222","clear","yes",""
"APBIO-FRQ-S-032","a1","2","0.142857","clear","yes",""
"APBIO-FRQ-S-032","a2","4","0.195122","clear","yes",""
"APBIO-FRQ-S-032","b2","8","0.136364","clear","yes",""
"APBIO-FRQ-S-033","b1","6","0.173913","clear","yes",""
"APBIO-FRQ-S-033","b2","8","0.108108","clear","yes",""
"APBIO-FRQ-S-036","a1","2","0.166667","clear","yes",""
"APBIO-FRQ-S-038","a1","2","0.166667","clear","yes",""
"APBIO-FRQ-S-038","a2","4","0.121212","clear","yes",""
"APBIO-FRQ-S-038","b2","10","0.340426","clear","yes",""
"APBIO-FRQ-S-040","b1","6","0.342857","clear","yes",""
"APBIO-FRQ-S-040","b2","8","0.052632","clear","yes",""
"APBIO-FRQ-S-045","b","4","0.048780","clear","yes",""
"APBIO-FRQ-S-046","b2","7","0.080000","clear","yes",""
"APBIO-FRQ-S-047","b1","6",".400000","clear","yes",""
"APBIO-FRQ-S-048","a2","2","0.217391","clear","yes",""
"APBIO-FRQ-S-051","a1","2","0.181818","clear","yes",""
"APBIO-FRQ-S-051","b1","6","0.238095","clear","yes",""
"APBIO-FRQ-S-051","b2","8","0.244898","clear","yes",""
"APBIO-FRQ-S-052","a1","2","0.333333","clear","yes",""
"APBIO-FRQ-S-052","a2","4","0.263158","clear","yes",""
