subject,question,label,max,mean,ratio,task,topic,verb_auto,attr_method
AP Biology,1,A1,1.0,0.64,0.64,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,1,C1,1.0,0.76,0.76,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,C2,1.0,0.89,0.89,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,C3,1.0,0.49,0.49,Interpreting and Evaluating Experimental Results,ER Translocation,identify,letter
AP Biology,1,D1,1.0,0.14,0.14,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,1,D2,1.0,0.02,0.02,Interpreting and Evaluating Experimental Results,ER Translocation,describe,letter
AP Biology,2,A1,1.0,0.5,0.5,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,describe,letter
AP Biology,2,B1,1.0,0.88,0.88,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Biology,2,B2,1.0,0.66,0.66,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Biology,2,B3,1.0,0.63,0.63,Interpreting and Evaluating Experimental Results with Graphing,Mating Behavior in Moths,construct,direct
AP Calculus AB,AB1/BC1,AB1 P2,1.0,0.32,0.32,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,direct
AP Calculus AB,AB1/BC1,AB1 P3,1.0,0.57,0.57,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,write,sequential
AP Calculus AB,AB1/BC1,AB1 P5,1.0,0.64,0.64,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,direct
AP Calculus AB,AB1/BC1,AB1 P6,1.0,0.38,0.38,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,sequential
AP Calculus AB,AB1/BC1,AB1 P9,1.0,0.19,0.19,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,sequential
AP Calculus AB,AB2,AB2 P1,1.0,0.75,0.75,"Area, Volume, Slope of Tangent Lines",Area/Volume,state,sequential
AP Calculus AB,AB2,AB2 P2,1.0,0.66,0.66,"Area, Volume, Slope of Tangent Lines",Area/Volume,write,sequential
AP Calculus AB,AB2,AB2 P6,1.0,0.35,0.35,"Area, Volume, Slope of Tangent Lines",Area/Volume,represent,direct
AP Calculus AB,AB3/BC3,AB3 P3,1.0,0.27,0.27,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,direct
AP Calculus AB,AB3/BC3,AB3 P7,1.0,0.71,0.71,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,sequential
AP Calculus AB,AB3/BC3,AB3 P8,1.0,0.61,0.61,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),evaluate,sequential
AP Calculus AB,AB3/BC3,AB3 P9,1.0,0.54,0.54,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,sequential
AP Calculus AB,AB4/BC4,AB4 P2,1.0,0.7,0.7,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus AB,AB4/BC4,AB4 P3,1.0,0.27,0.27,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus AB,AB4/BC4,AB4 P4,1.0,0.18,0.18,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,state,direct
AP Calculus AB,AB5,AB5 P3,1.0,0.42,0.42,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,state,sequential
AP Calculus AB,AB5,AB5 P5,1.0,0.03,0.03,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,determine,direct
AP Calculus AB,AB5,AB5 P6,1.0,0.43,0.43,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,state,direct
AP Calculus AB,AB6,AB6 P4,1.0,0.43,0.43,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,evaluate,sequential
AP Calculus BC,AB1/BC1,BC1 P2,1.0,0.57,0.57,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,direct
AP Calculus BC,AB1/BC1,BC1 P3,1.0,0.77,0.77,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,sequential
AP Calculus BC,AB1/BC1,BC1 P5,1.0,0.84,0.84,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,direct
AP Calculus BC,AB3/BC3,BC3 P3,1.0,0.38,0.38,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,direct
AP Calculus BC,AB4/BC4,BC4 P2,1.0,0.88,0.88,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus BC,AB4/BC4,BC4 P3,1.0,0.38,0.38,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus BC,AB4/BC4,BC4 P4,1.0,0.24,0.24,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,state,direct
AP Calculus BC,BC2,BC2 P2,1.0,0.6,0.6,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,direct
AP Calculus BC,BC2,BC2 P3,1.0,0.52,0.52,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,direct
AP Calculus BC,BC2,BC2 P6,1.0,0.06,0.06,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,sequential
AP Calculus BC,BC2,BC2 P8,1.0,0.24,0.24,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,identify,sequential
