content_key,content_item_version_id,criterion_key,points_possible,status,span_indexes,notes
"APSTATS-HDG-2026-GRAPH-003","3c820650-f346-41be-8d54-e22610c4f03f","AREA_OR_COUNT_REASONING","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-003","3c820650-f346-41be-8d54-e22610c4f03f","HEIGHTS_BY_CONDITIONAL_PROPORTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-003","3c820650-f346-41be-8d54-e22610c4f03f","SEGMENT_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-003","3c820650-f346-41be-8d54-e22610c4f03f","WIDTHS_BY_TOTAL","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-005","51978e67-36b4-4df8-847d-7b8d7f83261d","ASSOCIATION_DESCRIPTION","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-005","51978e67-36b4-4df8-847d-7b8d7f83261d","AXIS_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-005","51978e67-36b4-4df8-847d-7b8d7f83261d","POINTS_PLOTTED","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-005","51978e67-36b4-4df8-847d-7b8d7f83261d","TREND_LINE","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-007","1fc2f56e-35c3-4713-8d55-5f39fddfff46","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-007","1fc2f56e-35c3-4713-8d55-5f39fddfff46","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-007","1fc2f56e-35c3-4713-8d55-5f39fddfff46","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-007","1fc2f56e-35c3-4713-8d55-5f39fddfff46","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-008","e3c04930-1dd7-437b-959e-c80b5b60a8c2","CATEGORY_LABELS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-008","e3c04930-1dd7-437b-959e-c80b5b60a8c2","COMPARISON","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-008","e3c04930-1dd7-437b-959e-c80b5b60a8c2","RELATIVE_FREQUENCIES","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-008","e3c04930-1dd7-437b-959e-c80b5b60a8c2","SEGMENTED_BARS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-010","75e64948-636e-47d8-9326-78e74e6e2b8f","AXIS_SCALE","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-010","75e64948-636e-47d8-9326-78e74e6e2b8f","DOT_COUNTS","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-010","75e64948-636e-47d8-9326-78e74e6e2b8f","OUTLIER_NOTE","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-010","75e64948-636e-47d8-9326-78e74e6e2b8f","SHAPE_DESCRIPTION","1","covered","1",""
