id,content_key,category,question_or_issue,disposition
"C-001","APSTATS-HDG-2026-GRAPH-003","uncovered_criteria","SEGMENT_LABELS","No text drafted; retain as a QA/Product Owner finding."
"C-002","APSTATS-HDG-2026-GRAPH-005","uncovered_criteria","AXIS_LABELS | POINTS_PLOTTED","No text drafted; retain as a QA/Product Owner finding."
"C-003","APSTATS-HDG-2026-GRAPH-007","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-004","APSTATS-HDG-2026-GRAPH-013","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-005","APSTATS-HDG-2026-GRAPH-014","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-006","APSTATS-HDG-2026-GRAPH-015","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-007","APSTATS-HDG-2026-GRAPH-016","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-008","APSTATS-HDG-2026-GRAPH-017","uncovered_criteria","BOXPLOT_SCALE","No text drafted; retain as a QA/Product Owner finding."
"C-009","APSTATS-HDG-2026-GRAPH-023","uncovered_criteria","SEGMENT_LABELS","No text drafted; retain as a QA/Product Owner finding."
"C-010","APSTATS-HDG-2026-GRAPH-025","uncovered_criteria","SEGMENT_LABELS","No text drafted; retain as a QA/Product Owner finding."
"C-011","APSTATS-HDG-2026-GRAPH-027","uncovered_criteria","SEGMENT_LABELS","No text drafted; retain as a QA/Product Owner finding."
"C-012","APSTATS-HDG-2026-GRAPH-033","uncovered_criteria","AXIS_LABELS | POINTS_PLOTTED","No text drafted; retain as a QA/Product Owner finding."
"C-J01","all_graph_items","segmentation_judgment","Textual canonical answers describe intended graphs but are not literal rendered graphs. Crediting is limited to properties explicit in the published text.","Axis/scale/label criteria are uncovered where the prose does not explicitly state them."
