content_key,content_item_id,content_item_version_id,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,previous_topic_code,defect_class,evidence_fields_used
APSTAT-MOD3-E002,3a187fa6-d745-463a-be2b-49579aa87a84,882d7377-1634-46a9-88c8-a46680c837db,ap-statistics,frq,1,1.6,Descriptions for One Quantitative Variable Distributions,manual_semantic_review,high,Assigned to 1.6 because the manual semantic review evidence matches Descriptions for One Quantitative Variable Distributions.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.1,,stem;stimulus;rubric
APSTAT-MOD3-E005,649b4aec-efb7-4ed1-a606-6b873ed321b8,bd6662e5-ef20-4a53-8c9f-0a4010d2470c,ap-statistics,frq,5,5.2,Correlation,manual_semantic_review,high,Assigned to 5.2 because the manual semantic review evidence matches Correlation.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.2,,stem;stimulus;rubric
APSTAT-MOD3-H001-INV,d2ac22b2-f075-41df-a05d-897aa44f436b,decf1d69-0fb2-4bd6-8d71-a587a46bff57,ap-statistics,frq,1,1.12,Potential Problems with Sampling,manual_semantic_review,high,Assigned to 1.12 because the manual semantic review evidence matches Potential Problems with Sampling.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,4.3,,stem;stimulus;rubric
APSTAT-MOD4-H001-INV,e053bb22-4805-44ab-9003-36b2e93987ab,b045075d-724f-4248-8a3b-e0f0c68e82a0,ap-statistics,frq,1,1.13,Experimental Design,manual_semantic_review,high,Assigned to 1.13 because the manual semantic review evidence matches Experimental Design.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.12,,stem;stimulus;rubric
APSTAT-MOD4-M001,40c0226d-ff9d-4927-8c72-75b1cdbc2dd2,80a0b867-d6e6-4bf6-999c-323c357f10f1,ap-statistics,frq,1,1.13,Experimental Design,manual_semantic_review,high,Assigned to 1.13 because the manual semantic review evidence matches Experimental Design.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.12,,stem;stimulus;rubric
APSTAT-MOD4-M003,a2a8e8f7-f1f4-444f-a31d-cef8ec4d3c11,15a93acc-e093-49fc-ae64-baa0e77a2c5c,ap-statistics,frq,1,1.10,The Investigative Question Revisited and Data Collection,manual_semantic_review,high,Assigned to 1.10 because the manual semantic review evidence matches The Investigative Question Revisited and Data Collection.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.9,,stem;stimulus;rubric
APSTAT-MOD4-M004,c2f7d698-bd32-4f2e-bb91-c2119089c233,55a833f4-ab5f-4437-b36f-748038236300,ap-statistics,frq,5,5.1,Graphical Representations Between Two Quantitative Variables,manual_semantic_review,high,Assigned to 5.1 because the manual semantic review evidence matches Graphical Representations Between Two Quantitative Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.1,,stem;stimulus;rubric
APSTAT-MOD5-H001-INV,c620d7d3-1a93-49ac-8d81-654c7767125f,b0d3059b-0072-44d5-8543-eb16cc79a17b,ap-statistics,frq,5,5.2,Correlation,manual_semantic_review,high,Assigned to 5.2 because the manual semantic review evidence matches Correlation.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.2,,stem;stimulus;rubric
APSTAT-MOD5-M001,6a376f40-6f50-42b9-b478-27f91cd92aa1,acf20fc2-bc25-42e9-9068-fea69c26c89c,ap-statistics,frq,1,1.7,Summary Statistics for One Quantitative Variable,manual_semantic_review,high,Assigned to 1.7 because the manual semantic review evidence matches Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.1,,stem;stimulus;rubric
APSTAT-MOD6-H001,d070712f-9e57-4a0b-8af1-ef22b932dd3d,bf471ada-e35b-4d63-b27d-d9aba40722ca,ap-statistics,frq,4,4.10,Carrying Out a Test for the Difference Between Two Population Means,manual_semantic_review,high,Assigned to 4.10 because the manual semantic review evidence matches Carrying Out a Test for the Difference Between Two Population Means.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.10,,stem;stimulus;rubric
