finding_id,target_file,content_item_id,content_key,subject_key,assigned_topic,issue_type,severity,explanation,suggested_fix
TL-001,topic_labels_proposal.csv,35c5517b-23ad-497f-8eb5-10a36b7bcc11,APSTAT-MOD8-M004,ap-statistics,1.3,wrong_unit,high,"Item is about regression/slope/correlation, which is Unit 5 Regression Analysis, not Unit 1.",Reassign within Unit 5 (5.2 Correlation / 5.3 Linear Regression Models / 5.5 Least-Squares Regression)
TL-002,topic_labels_proposal.csv,88d04972-a32f-45c0-ba36-88f89a20e76a,APSTATS-HDG-2026-GRAPH-003,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-003,topic_labels_proposal.csv,247fa43c-12a1-4325-9e4a-3d2ac12ca337,APSTATS-HDG-2026-GRAPH-005,ap-statistics,5.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-004,topic_labels_proposal.csv,417f613e-9b7d-4006-a7ad-7af2192740d7,APSTATS-HDG-2026-GRAPH-007,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-005,topic_labels_proposal.csv,778dd6fe-3743-4854-a85d-41ef92621f5b,APSTATS-HDG-2026-GRAPH-008,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-006,topic_labels_proposal.csv,66842193-66be-4a88-83d6-7c3ea74c727e,APSTATS-HDG-2026-GRAPH-010,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-007,topic_labels_proposal.csv,dabb1c22-319b-43b0-85e8-46fc2156160a,APSTATS-HDG-2026-GRAPH-013,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-008,topic_labels_proposal.csv,44955911-e8a2-4692-bbf5-a2371008e2e6,APSTATS-HDG-2026-GRAPH-014,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-009,topic_labels_proposal.csv,4089bbf4-bd0b-4fa5-ba51-74abc72743fc,APSTATS-HDG-2026-GRAPH-015,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-010,topic_labels_proposal.csv,95710146-eeba-4389-89db-a86dc33663c7,APSTATS-HDG-2026-GRAPH-016,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-011,topic_labels_proposal.csv,0dc051bb-9021-4fb3-a17e-29d934feb013,APSTATS-HDG-2026-GRAPH-017,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-012,topic_labels_proposal.csv,e175ed67-4d5c-4580-9665-070c7e8bd014,APSTATS-HDG-2026-GRAPH-018,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-013,topic_labels_proposal.csv,b8e5af02-dfec-4250-a74c-9a38a8323fa2,APSTATS-HDG-2026-GRAPH-019,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-014,topic_labels_proposal.csv,dfdfef1f-dd1f-43e4-a636-cb65824c2ef5,APSTATS-HDG-2026-GRAPH-020,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-015,topic_labels_proposal.csv,2e2f5711-77bc-436d-9610-0c51b18bf9e0,APSTATS-HDG-2026-GRAPH-023,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-016,topic_labels_proposal.csv,ecf62b6d-7462-4724-b009-83a8a821939f,APSTATS-HDG-2026-GRAPH-025,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-017,topic_labels_proposal.csv,f5d5f18f-37e3-4dec-bb2c-9aa76f0fd002,APSTATS-HDG-2026-GRAPH-027,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-018,topic_labels_proposal.csv,9a8bccd1-85e7-4192-a1bb-71aad94ffe4c,APSTATS-HDG-2026-GRAPH-028,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-019,topic_labels_proposal.csv,c63603c5-a620-4b06-aec0-b91d964db1f5,APSTATS-HDG-2026-GRAPH-030,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-020,topic_labels_proposal.csv,b1ee175c-2ac3-4bbb-8139-761847e05c63,APSTATS-HDG-2026-GRAPH-031,ap-statistics,1.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-021,topic_labels_proposal.csv,ca5f0628-cd55-4293-a6d8-51a1cacb6437,APSTATS-HDG-2026-GRAPH-033,ap-statistics,5.5,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-022,topic_labels_proposal.csv,cc470e39-255e-465c-a93f-2d6e3c325b89,apstat-compare_stats-090000,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-023,topic_labels_proposal.csv,499e91c6-ea09-4f5e-baff-7b07f25ee78b,apstat-compare_stats-090001,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-024,topic_labels_proposal.csv,e40f868d-5b8f-46bf-bd03-4fcc938613b5,apstat-compare_stats-090002,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-025,topic_labels_proposal.csv,68849543-8c77-46f6-9c44-db7e1b18163e,apstat-compare_stats-090003,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-026,topic_labels_proposal.csv,a290d67d-8ae1-46c4-9eb0-c3d19e4000ad,apstat-compare_stats-090004,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-027,topic_labels_proposal.csv,9cd1fc73-a3aa-42de-9a38-ed27e68de5cb,apstat-compare_stats-090005,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-028,topic_labels_proposal.csv,fce2322b-6c24-4427-a9b0-145cb69fd593,apstat-compare_stats-090006,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-029,topic_labels_proposal.csv,501b459c-50ab-4057-8b14-e5b824dd5c2c,apstat-compare_stats-090007,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-030,topic_labels_proposal.csv,a0030be0-3d35-495a-a5cf-a64b716f2237,apstat-compare_stats-090008,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-031,topic_labels_proposal.csv,7293fb74-a05d-4e94-8904-4436832d2103,apstat-compare_stats-090009,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-032,topic_labels_proposal.csv,8ed5e5cd-bc8a-4706-9a17-dc233d48f53a,apstat-compare_stats-090010,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-033,topic_labels_proposal.csv,f6cb6927-3342-4803-acc7-67118765b7a6,apstat-compare_stats-090011,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-034,topic_labels_proposal.csv,40e339b1-ea48-4a3c-aa5f-59d511dbf531,apstat-compare_stats-090012,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-035,topic_labels_proposal.csv,99d9c4cb-b92c-4f9b-b47a-76bb3a556e2f,apstat-compare_stats-090013,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-036,topic_labels_proposal.csv,0f5d9a4f-cebc-40e5-8bbe-1bf54864ef3f,apstat-compare_stats-090014,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-037,topic_labels_proposal.csv,cafad641-e2b9-46a5-8204-3bf73d9c899f,apstat-compare_stats-090015,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-038,topic_labels_proposal.csv,141b84a1-8e40-4e9e-8fc7-a67565129ef2,apstat-compare_stats-090016,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
