content_item_id,subject_key,item_type,primary_unit_number,primary_topic_code,primary_topic_title,alt_topic_code,confidence,agreement_with_author_prose,agreement_with_explainer_retrieval,rationale,needs_human
3a187fa6-d745-463a-be2b-49579aa87a84,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Introducing Statistics: What Can We Learn from Data?"".",true
649b4aec-efb7-4ed1-a606-6b873ed321b8,ap-statistics,frq,2,2.2,Summary Statistics for Two Categorical Variables,1.3,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Summary Statistics for Two Categorical Variables"".",false
d2ac22b2-f075-41df-a05d-897aa44f436b,ap-statistics,frq,4,4.3,Justifying a Claim Based on a Confidence Interval for a Population Mean or Population Mean Difference,3.11,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Justifying a Claim Based on a Confidence Interval for a Population Mean or Population Mean Difference"".",false
e053bb22-4805-44ab-9003-36b2e93987ab,ap-statistics,frq,3,3.12,Setting Up a Test for the Difference Between Two Population Proportions,3.13,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Setting Up a Test for the Difference Between Two Population Proportions"".",true
40c0226d-ff9d-4927-8c72-75b1cdbc2dd2,ap-statistics,frq,3,3.12,Setting Up a Test for the Difference Between Two Population Proportions,3.13,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Setting Up a Test for the Difference Between Two Population Proportions"".",true
a2a8e8f7-f1f4-444f-a31d-cef8ec4d3c11,ap-statistics,frq,3,3.9,Sampling Distributions for the Difference Between Sample Proportions,4.6,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Sampling Distributions for the Difference Between Sample Proportions"".",true
c2f7d698-bd32-4f2e-bb91-c2119089c233,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Introducing Statistics: What Can We Learn from Data?"".",true
c620d7d3-1a93-49ac-8d81-654c7767125f,ap-statistics,frq,2,2.2,Summary Statistics for Two Categorical Variables,5.1,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Summary Statistics for Two Categorical Variables"".",true
6a376f40-6f50-42b9-b478-27f91cd92aa1,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Introducing Statistics: What Can We Learn from Data?"".",true
d070712f-9e57-4a0b-8af1-ef22b932dd3d,ap-statistics,frq,1,1.10,The Investigative Question Revisited and Data Collection,1.13,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""The Investigative Question Revisited and Data Collection"".",true
a067f214-64d3-48f4-b267-c41ce5fc5e5d,ap-statistics,frq,5,5.5,Least-Squares Regression,1.10,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Least-Squares Regression"".",false
5808c609-bc29-476a-a404-afa15124ebf3,ap-statistics,frq,3,3.10,Constructing a Confidence Interval for the Difference Between Two Population Proportions,3.11,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Constructing a Confidence Interval for the Difference Between Two Population Proportions"".",true
7d8d53e7-8dc5-4175-b972-688ffe5f9edf,ap-statistics,frq,3,3.14,Setting Up a Chi-Square Test for Homogeneity or Independence,3.15,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Setting Up a Chi-Square Test for Homogeneity or Independence"".",true
35c5517b-23ad-497f-8eb5-10a36b7bcc11,ap-statistics,frq,1,1.3,Tabular Representation and Summary Statistics for One Categorical Variable,1.7,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Tabular Representation and Summary Statistics for One Categorical Variable"".",true
0d5cc3fa-48fa-44d6-a0c9-c8e9d6067a6e,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,1.4,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Graphical Representations of Summary Statistics for One Quantitative Variable"".",false
d49c417a-ffc9-4836-a070-bd356e021b69,ap-statistics,frq,2,2.5,Mutually Exclusive Events,1.1,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Mutually Exclusive Events"".",false
614b65b6-f98c-4319-ae0a-b540ce47233d,ap-statistics,frq,3,3.11,Justifying a Claim Based on a Confidence Interval for the Difference Between Two Population Proportions,3.9,low,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Justifying a Claim Based on a Confidence Interval for the Difference Between Two Population Proportions"".",true
66dba214-f1d0-41ba-a52e-1e16996ce0d7,ap-statistics,frq,1,1.6,Descriptions for One Quantitative Variable Distributions,1.7,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Descriptions for One Quantitative Variable Distributions"".",false
c19e2b4d-b0f5-4944-a4d9-46840f005aab,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,,medium,na,na,"Primary pick based on the item stem; closed-list lexical match to ""Graphical Representations of Summary Statistics for One Quantitative Variable"".",false
