content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
"apcalcab-frq-001","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-1-limits-and-continuity"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-002","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-1-limits-and-continuity"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-003","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-2-differentiation-definition-and-fundamental-properties"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-004","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-2-differentiation-definition-and-fundamental-properties"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-005","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-3-differentiation-composite-implicit-and-inverse-functions"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-006","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-3-differentiation-composite-implicit-and-inverse-functions"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-007","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-4-contextual-applications-of-differentiation"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-008","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-4-contextual-applications-of-differentiation"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-009","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-5-analytical-applications-of-differentiation"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
"apcalcab-frq-010","ap-calculus-ab","frq","","","false","false","{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-5-analytical-applications-of-differentiation"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-ab-2025-26"",""scheme_version"":""1.0.0""}]}"
