content_key,content_item_version_id,attainment_ratio,ratio_status,ratio_basis,contributing_verbs,committed_difficulty,ratio_cutpoint_band,cutpoint_vs_committed
APBIO-FRQ-L-003,0c9b6720-639f-4dc4-8fab-c66e65271b1d,0.575778,computed,all_exact,"[{""ratio"": 0.409333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""AB5 P5"", ""normalization"": ""0.03-0.439+0.549"", ""normalized_ratio"": 0.14, ""question"": ""AB5"", ""raw_ratio"": 0.03, ""subject"": ""AP Calculus AB""}, {""label"": ""03"", ""normalization"": ""0.31-0.440+0.549"", ""normalized_ratio"": 0.41900000000000004, ""question"": ""2"", ""raw_ratio"": 0.31, ""subject"": ""AP Chemistry""}, {""label"": ""05"", ""normalization"": ""0.56-0.440+0.549"", ""normalized_ratio"": 0.669, ""question"": ""2"", ""raw_ratio"": 0.56, ""subject"": ""AP Chemistry""}], ""verb"": ""determine""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}]",Medium,Medium,same
APBIO-FRQ-L-004,c721f9eb-1f78-4fa0-b035-15701b663bde,0.657778,computed,all_exact,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}, {""ratio"": 0.699, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""07"", ""normalization"": ""0.59-0.440+0.549"", ""normalized_ratio"": 0.6990000000000001, ""question"": ""1"", ""raw_ratio"": 0.59, ""subject"": ""AP Chemistry""}], ""verb"": ""write""}]",Medium,Medium,same
APBIO-FRQ-L-006,9aaacb20-9b11-4867-aaff-57ec9dbb07cf,0.609643,computed,all_exact,"[{""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.660286, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""C1"", ""normalization"": ""none"", ""normalized_ratio"": 0.76, ""question"": ""1"", ""raw_ratio"": 0.76, ""subject"": ""AP Biology""}, {""label"": ""C2"", ""normalization"": ""none"", ""normalized_ratio"": 0.89, ""question"": ""1"", ""raw_ratio"": 0.89, ""subject"": ""AP Biology""}, {""label"": ""AB4 P3"", ""normalization"": ""0.27-0.439+0.549"", ""normalized_ratio"": 0.38000000000000006, ""question"": ""AB4/BC4"", ""raw_ratio"": 0.27, ""subject"": ""AP Calculus AB""}, {""label"": ""BC4 P3"", ""normalization"": ""0.38-0.546+0.549"", ""normalized_ratio"": 0.383, ""question"": ""AB4/BC4"", ""raw_ratio"": 0.38, ""subject"": ""AP Calculus BC""}, {""label"": ""01"", ""normalization"": ""0.56-0.440+0.549"", ""normalized_ratio"": 0.669, ""question"": ""4"", ""raw_ratio"": 0.56, ""subject"": ""AP Chemistry""}, {""label"": ""01"", ""normalization"": ""0.61-0.440+0.549"", ""normalized_ratio"": 0.7190000000000001, ""question"": ""7"", ""raw_ratio"": 0.61, ""subject"": ""AP Chemistry""}, {""label"": ""A2"", ""normalization"": ""0.72-0.448+0.549"", ""normalized_ratio"": 0.821, ""question"": ""1"", ""raw_ratio"": 0.72, ""subject"": ""AP Precalculus""}], ""verb"": ""identify""}]",Medium,Medium,same
APBIO-FRQ-L-008,36159394-bd67-47d0-8aa6-24b4d39d45d7,0.617760,computed,all_exact,"[{""ratio"": 0.637706, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""C3"", ""normalization"": ""none"", ""normalized_ratio"": 0.49, ""question"": ""1"", ""raw_ratio"": 0.49, ""subject"": ""AP Biology""}, {""label"": ""AB2 P1"", ""normalization"": ""0.75-0.439+0.549"", ""normalized_ratio"": 0.8600000000000001, ""question"": ""AB2"", ""raw_ratio"": 0.75, ""subject"": ""AP Calculus AB""}, {""label"": ""AB2 P2"", ""normalization"": ""0.66-0.439+0.549"", ""normalized_ratio"": 0.77, ""question"": ""AB2"", ""raw_ratio"": 0.66, ""subject"": ""AP Calculus AB""}, {""label"": ""AB3 P9"", ""normalization"": ""0.54-0.439+0.549"", ""normalized_ratio"": 0.6500000000000001, ""question"": ""AB3/BC3"", ""raw_ratio"": 0.54, ""subject"": ""AP Calculus AB""}, {""label"": ""BC1 P3"", ""normalization"": ""0.77-0.546+0.549"", ""normalized_ratio"": 0.773, ""question"": ""AB1/BC1"", ""raw_ratio"": 0.77, ""subject"": ""AP Calculus BC""}, {""label"": ""BC2 P9"", ""normalization"": ""0.21-0.546+0.549"", ""normalized_ratio"": 0.21299999999999997, ""question"": ""BC2"", ""raw_ratio"": 0.21, ""subject"": ""AP Calculus BC""}, {""label"": ""BC5 P3"", ""normalization"": ""0.63-0.546+0.549"", ""normalized_ratio"": 0.633, ""question"": ""BC5"", ""raw_ratio"": 0.63, ""subject"": ""AP Calculus BC""}, {""label"": ""05"", ""normalization"": ""0.66-0.440+0.549"", ""normalized_ratio"": 0.7690000000000001, ""question"": ""1"", ""raw_ratio"": 0.66, ""subject"": ""AP Chemistry""}, {""label"": ""06"", ""normalization"": ""0.46-0.440+0.549"", ""normalized_ratio"": 0.5690000000000001, ""question"": ""1"", ""raw_ratio"": 0.46, ""subject"": ""AP Chemistry""}, {""label"": ""08"", ""normalization"": ""0.42-0.440+0.549"", ""normalized_ratio"": 0.529, ""question"": ""1"", ""raw_ratio"": 0.42, ""subject"": ""AP Chemistry""}, {""label"": ""01"", ""normalization"": ""0.84-0.440+0.549"", ""normalized_ratio"": 0.9490000000000001, ""question"": ""2"", ""raw_ratio"": 0.84, ""subject"": ""AP Chemistry""}, {""label"": ""08"", ""normalization"": ""0.64-0.440+0.549"", ""normalized_ratio"": 0.7490000000000001, ""question"": ""2"", ""raw_ratio"": 0.64, ""subject"": ""AP Chemistry""}, {""label"": ""08"", ""normalization"": ""0.52-0.440+0.549"", ""normalized_ratio"": 0.629, ""question"": ""3"", ""raw_ratio"": 0.52, ""subject"": ""AP Chemistry""}, {""label"": ""04"", ""normalization"": ""0.54-0.440+0.549"", ""normalized_ratio"": 0.649, ""question"": ""4"", ""raw_ratio"": 0.54, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.41-0.440+0.549"", ""normalized_ratio"": 0.519, ""question"": ""7"", ""raw_ratio"": 0.41, ""subject"": ""AP Chemistry""}, {""label"": ""03"", ""normalization"": ""0.48-0.440+0.549"", ""normalized_ratio"": 0.589, ""question"": ""7"", ""raw_ratio"": 0.48, ""subject"": ""AP Chemistry""}, {""label"": ""D2"", ""normalization"": ""0.5-0.548+0.549"", ""normalized_ratio"": 0.501, ""question"": ""3"", ""raw_ratio"": 0.5, ""subject"": ""AP Physics C: Mech""}], ""verb"": ""calculate""}, {""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}]",Medium,Medium,same
APBIO-FRQ-L-012,1514c2ee-7cc6-4173-b547-b1f5535a4e95,0.578206,computed,mixed,"[{""ratio"": 0.660286, ""ratio_source"": ""tier_fallback"", ""source_verbs"": [{""ratio"": 0.660286, ""verb"": ""identify""}], ""verb"": ""classify""}, {""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}]",Medium,Medium,same
APBIO-FRQ-L-013,3f39e127-2862-4a16-9805-c8ad8251a224,0.589542,computed,mixed,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}, {""ratio"": 0.524833, ""ratio_source"": ""tier_fallback"", ""source_verbs"": [{""ratio"": 0.515333, ""verb"": ""describe""}, {""ratio"": 0.723333, ""verb"": ""construct""}, {""ratio"": 0.409333, ""verb"": ""determine""}, {""ratio"": 0.243, ""verb"": ""represent""}, {""ratio"": 0.559, ""verb"": ""explain""}, {""ratio"": 0.699, ""verb"": ""write""}], ""verb"": ""trace""}]",Medium,Medium,same
APBIO-FRQ-L-014,0fbbb21d-7816-41e5-96ef-d5f2d904c3a9,0.611111,computed,all_exact,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}]",Medium,Medium,same
APBIO-FRQ-L-015,f9ab1b6b-ec52-479b-9c31-fbad9dcc62e8,0.578206,computed,all_exact,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.660286, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""C1"", ""normalization"": ""none"", ""normalized_ratio"": 0.76, ""question"": ""1"", ""raw_ratio"": 0.76, ""subject"": ""AP Biology""}, {""label"": ""C2"", ""normalization"": ""none"", ""normalized_ratio"": 0.89, ""question"": ""1"", ""raw_ratio"": 0.89, ""subject"": ""AP Biology""}, {""label"": ""AB4 P3"", ""normalization"": ""0.27-0.439+0.549"", ""normalized_ratio"": 0.38000000000000006, ""question"": ""AB4/BC4"", ""raw_ratio"": 0.27, ""subject"": ""AP Calculus AB""}, {""label"": ""BC4 P3"", ""normalization"": ""0.38-0.546+0.549"", ""normalized_ratio"": 0.383, ""question"": ""AB4/BC4"", ""raw_ratio"": 0.38, ""subject"": ""AP Calculus BC""}, {""label"": ""01"", ""normalization"": ""0.56-0.440+0.549"", ""normalized_ratio"": 0.669, ""question"": ""4"", ""raw_ratio"": 0.56, ""subject"": ""AP Chemistry""}, {""label"": ""01"", ""normalization"": ""0.61-0.440+0.549"", ""normalized_ratio"": 0.7190000000000001, ""question"": ""7"", ""raw_ratio"": 0.61, ""subject"": ""AP Chemistry""}, {""label"": ""A2"", ""normalization"": ""0.72-0.448+0.549"", ""normalized_ratio"": 0.821, ""question"": ""1"", ""raw_ratio"": 0.72, ""subject"": ""AP Precalculus""}], ""verb"": ""identify""}]",Medium,Medium,same
APBIO-FRQ-L-016,2fea6947-66ba-4080-9bcb-863c35adeb1b,0.521444,computed,all_exact,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.49, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""AB1 P6"", ""normalization"": ""0.38-0.439+0.549"", ""normalized_ratio"": 0.49000000000000005, ""question"": ""AB1/BC1"", ""raw_ratio"": 0.38, ""subject"": ""AP Calculus AB""}], ""verb"": ""evaluate""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}]",Hard,Medium,different
APBIO-FRQ-L-017,1840ca34-d29d-45f2-b0c1-831759df1d46,0.611111,computed,all_exact,"[{""ratio"": 0.515333, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.64, ""question"": ""1"", ""raw_ratio"": 0.64, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""none"", ""normalized_ratio"": 0.5, ""question"": ""2"", ""raw_ratio"": 0.5, ""subject"": ""AP Biology""}, {""label"": ""A1"", ""normalization"": ""0.46-0.603+0.549"", ""normalized_ratio"": 0.4060000000000001, ""question"": ""3"", ""raw_ratio"": 0.46, ""subject"": ""AP Physics C: E&M""}], ""verb"": ""describe""}, {""ratio"": 0.559, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""03"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""1"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}, {""label"": ""02"", ""normalization"": ""0.25-0.440+0.549"", ""normalized_ratio"": 0.35900000000000004, ""question"": ""3"", ""raw_ratio"": 0.25, ""subject"": ""AP Chemistry""}], ""verb"": ""explain""}, {""ratio"": 0.759, ""ratio_source"": ""exact_verb"", ""source_rows"": [{""label"": ""01"", ""normalization"": ""0.65-0.440+0.549"", ""normalized_ratio"": 0.7590000000000001, ""question"": ""5"", ""raw_ratio"": 0.65, ""subject"": ""AP Chemistry""}], ""verb"": ""predict""}]",Medium,Medium,same
