content_key,content_item_version_id,version_num,item_type,committed_difficulty,committed_basis,reproduced_difficulty,band_match,detected_verbs,exact_auto_verb_matches,attainment_ratio,ratio_status,ratio_blocker
APBIO-FRQ-L-003,0c9b6720-639f-4dc4-8fab-c66e65271b1d,4,frq,Medium,task verb,Medium,true,determines|explains|predicts,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-L-004,c721f9eb-1f78-4fa0-b035-15701b663bde,2,frq,Medium,task verb,Medium,true,describe|predict|write,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-006,9aaacb20-9b11-4867-aaff-57ec9dbb07cf,2,frq,Medium,task verb,Medium,true,analyze|explain|identify,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-008,36159394-bd67-47d0-8aa6-24b4d39d45d7,2,frq,Medium,task verb,Medium,true,calculates|compares|describes|explain|explains|predicts,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-012,1514c2ee-7cc6-4173-b547-b1f5535a4e95,2,frq,Medium,task verb,Medium,true,classify|describe|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-013,3f39e127-2862-4a16-9805-c8ad8251a224,2,frq,Medium,task verb,Medium,true,describe|explain|predict|trace,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-014,0fbbb21d-7816-41e5-96ef-d5f2d904c3a9,2,frq,Medium,task verb,Medium,true,describe|explain|predict,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-015,f9ab1b6b-ec52-479b-9c31-fbad9dcc62e8,2,frq,Medium,task verb,Medium,true,describe|explain|identify,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5|AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-016,2fea6947-66ba-4080-9bcb-863c35adeb1b,3,frq,Hard,task verb,Hard,true,describe|evaluate|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-017,1840ca34-d29d-45f2-b0c1-831759df1d46,2,frq,Medium,task verb,Medium,true,compare|describe|explain|predict,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-019,0d8bb422-95ef-4e50-884e-38f83cb4cf6a,2,frq,Medium,task verb,Medium,true,determine|explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-L-021,072da3bc-ba23-4a52-8ef5-f1bb9a8ae49a,1,frq,Medium,task verb,Medium,true,describe|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-026,13f4a0e3-a018-4ddf-ba71-c4a0ca0d7e67,3,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-L-030,e5703022-8587-4962-ad27-d63b8bb56227,4,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-L-031,4bc0591a-b1a8-4709-9e8d-b749210972b7,5,frq,Hard,task verb,Hard,true,describe|predict|propose,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-L-036,69b78d2f-d887-4d95-8fa4-0dd416185da6,3,frq,Hard,task verb,Hard,true,describe|evaluate|explain|predict,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-003,c4da3229-8d7a-4cf9-8738-68b62af20372,1,frq,Medium,task verb,Medium,true,explain|trace,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-006,6162803c-0888-41cb-8c04-9f2b196f0091,1,frq,Medium,task verb,Medium,true,compare|explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
