subject,question,label,verb_auto,model_1_verb,model_2_verb,agree,verified_verb
AP Biology,1,A1,describe,describe,describe,true,describe
AP Biology,1,C1,identify,identify,identify,true,identify
AP Biology,1,C2,identify,identify,identify,true,identify
AP Biology,1,C3,identify,calculate,calculate,true,calculate
AP Biology,1,D1,describe,justify,justify,true,justify
AP Biology,1,D2,describe,justify,justify,true,justify
AP Biology,2,A1,describe,describe,describe,true,describe
AP Biology,2,B1,construct,construct,construct,true,construct
AP Biology,2,B2,construct,construct,construct,true,construct
AP Biology,2,B3,construct,construct,construct,true,construct
AP Calculus AB,AB1/BC1,AB1 P2,evaluate,calculate,evaluate,false,
AP Calculus AB,AB1/BC1,AB1 P3,write,calculate,write,false,
AP Calculus AB,AB1/BC1,AB1 P5,represent,write,represent,false,
AP Calculus AB,AB1/BC1,AB1 P6,represent,evaluate,evaluate,true,evaluate
AP Calculus AB,AB1/BC1,AB1 P9,evaluate,determine,calculate,false,
AP Calculus AB,AB2,AB2 P1,state,calculate,calculate,true,calculate
AP Calculus AB,AB2,AB2 P2,write,calculate,calculate,true,calculate
AP Calculus AB,AB2,AB2 P6,represent,write,represent,false,
AP Calculus AB,AB3/BC3,AB3 P3,state,justify,justify,true,justify
AP Calculus AB,AB3/BC3,AB3 P7,state,write,represent,false,
AP Calculus AB,AB3/BC3,AB3 P8,evaluate,calculate,evaluate,false,
AP Calculus AB,AB3/BC3,AB3 P9,state,calculate,calculate,true,calculate
AP Calculus AB,AB4/BC4,AB4 P2,identify,calculate,identify,false,
AP Calculus AB,AB4/BC4,AB4 P3,identify,identify,identify,true,identify
AP Calculus AB,AB4/BC4,AB4 P4,state,justify,justify,true,justify
AP Calculus AB,AB5,AB5 P3,state,analyze,state,false,
AP Calculus AB,AB5,AB5 P5,determine,determine,determine,true,determine
AP Calculus AB,AB5,AB5 P6,state,determine,state,false,
AP Calculus AB,AB6,AB6 P4,evaluate,calculate,evaluate,false,
AP Calculus BC,AB1/BC1,BC1 P2,evaluate,calculate,evaluate,false,
AP Calculus BC,AB1/BC1,BC1 P3,evaluate,calculate,calculate,true,calculate
AP Calculus BC,AB1/BC1,BC1 P5,represent,write,represent,false,
AP Calculus BC,AB3/BC3,BC3 P3,state,justify,state,false,
AP Calculus BC,AB4/BC4,BC4 P2,identify,calculate,identify,false,
AP Calculus BC,AB4/BC4,BC4 P3,identify,identify,identify,true,identify
AP Calculus BC,AB4/BC4,BC4 P4,state,justify,justify,true,justify
AP Calculus BC,BC2,BC2 P2,determine,write,represent,false,
AP Calculus BC,BC2,BC2 P3,determine,write,represent,false,
AP Calculus BC,BC2,BC2 P6,determine,justify,justify,true,justify
AP Calculus BC,BC2,BC2 P8,identify,represent,represent,true,represent
AP Calculus BC,BC2,BC2 P9,write,calculate,calculate,true,calculate
AP Calculus BC,BC5,BC5 P3,describe,calculate,calculate,true,calculate
AP Calculus BC,BC5,BC5 P7,describe,justify,justify,true,justify
AP Chemistry,1,02,identify,explain,identify,false,
AP Chemistry,1,03,explain,explain,explain,true,explain
AP Chemistry,1,04,represent,explain,identify,false,
AP Chemistry,1,05,calculate,calculate,calculate,true,calculate
AP Chemistry,1,06,calculate,calculate,calculate,true,calculate
AP Chemistry,1,07,calculate,write,write,true,write
AP Chemistry,1,08,calculate,calculate,calculate,true,calculate
AP Chemistry,1,09,calculate,compare,determine,false,
AP Chemistry,2,01,calculate,calculate,calculate,true,calculate
AP Chemistry,2,03,compare,determine,determine,true,determine
AP Chemistry,2,05,determine,determine,determine,true,determine
AP Chemistry,2,06,analyze,calculate,analyze,false,
AP Chemistry,2,07,calculate,justify,calculate,false,
AP Chemistry,2,08,calculate,calculate,calculate,true,calculate
AP Chemistry,2,09,calculate,state,calculate,false,
AP Chemistry,3,01,explain,construct,represent,false,
AP Chemistry,3,02,predict,explain,explain,true,explain
AP Chemistry,3,03,calculate,justify,predict,false,
AP Chemistry,3,08,represent,calculate,calculate,true,calculate
AP Chemistry,4,01,identify,identify,identify,true,identify
AP Chemistry,4,03,propose,propose,propose,true,propose
AP Chemistry,4,04,calculate,calculate,calculate,true,calculate
AP Chemistry,5,01,predict,predict,predict,true,predict
AP Chemistry,5,03,calculate,justify,justify,true,justify
AP Chemistry,6,01,identify,write,identify,false,
AP Chemistry,6,02,identify,write,identify,false,
AP Chemistry,6,03,identify,calculate,identify,false,
AP Chemistry,7,01,identify,identify,identify,true,identify
AP Chemistry,7,02,calculate,calculate,calculate,true,calculate
AP Chemistry,7,03,calculate,calculate,calculate,true,calculate
AP Chemistry,7,04,propose,justify,justify,true,justify
AP Physics C: E&M,3,A1,state,describe,describe,true,describe
AP Physics C: E&M,3,A2,identify,design,design,true,design
AP Physics C: E&M,3,C1,identify,graph,represent,false,
AP Physics C: E&M,3,C2,identify,graph,represent,false,
AP Physics C: E&M,3,C3,identify,plot,determine,false,
AP Physics C: E&M,3,C4,identify,draw,calculate,false,
AP Physics C: Mech,3,A1,determine,design,describe,false,
AP Physics C: Mech,3,A2,determine,describe,identify,false,
AP Physics C: Mech,3,B1,calculate,identify,explain,false,
AP Physics C: Mech,3,D1,calculate,determine,calculate,false,
AP Physics C: Mech,3,D2,calculate,calculate,calculate,true,calculate
AP Precalculus,1,A1,identify,calculate,identify,false,
AP Precalculus,1,A2,identify,identify,identify,true,identify
