item_id,item_version,question_type,frq_form,review_stage,archetype,relation_subtype,expected_image_filename,stem,canonical_answer,modules,subtopics,display_table_json,expected_graph_spec_json,criterion_definitions_json,rights_status,notes
HDG-2026-P1-CAT-001,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-001__response-01.jpg,"Researchers measured chlorophyll absorbance for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-001 at the top of your page.

| Treatment | Mean absorbance at 540 nm (a.u.) | SEM (a.u.) |
| --- | --- | --- |
| low blue | 18.0 | 0.7 |
| moderate blue | 26.0 | 1.05 |
| high blue | 37.0 | 1.4 |
| mixed light | 42.0 | 1.75 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis absorbance at 540 nm (a.u.). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,chlorophyll absorbance|categorical comparison|SEM error bars,"[{""Mean absorbance at 540 nm (a.u.)"": 18.0, ""SEM (a.u.)"": 0.7, ""Treatment"": ""low blue""}, {""Mean absorbance at 540 nm (a.u.)"": 26.0, ""SEM (a.u.)"": 1.05, ""Treatment"": ""moderate blue""}, {""Mean absorbance at 540 nm (a.u.)"": 37.0, ""SEM (a.u.)"": 1.4, ""Treatment"": ""high blue""}, {""Mean absorbance at 540 nm (a.u.)"": 42.0, ""SEM (a.u.)"": 1.75, ""Treatment"": ""mixed light""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""absorbance at 540 nm (a.u.)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-002,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-002__response-01.jpg,"Researchers measured leaf pore density for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-002 at the top of your page.

| Treatment | Mean stomatal density (stomata/mm^2) | SEM (stomata/mm^2) |
| --- | --- | --- |
| deep shade | 46.0 | 1.05 |
| partial shade | 40.0 | 1.4 |
| open sun | 32.0 | 1.75 |
| reflected sun | 25.0 | 0.7 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis stomatal density (stomata/mm^2). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,leaf pore density|categorical comparison|SEM error bars,"[{""Mean stomatal density (stomata/mm^2)"": 46.0, ""SEM (stomata/mm^2)"": 1.05, ""Treatment"": ""deep shade""}, {""Mean stomatal density (stomata/mm^2)"": 40.0, ""SEM (stomata/mm^2)"": 1.4, ""Treatment"": ""partial shade""}, {""Mean stomatal density (stomata/mm^2)"": 32.0, ""SEM (stomata/mm^2)"": 1.75, ""Treatment"": ""open sun""}, {""Mean stomatal density (stomata/mm^2)"": 25.0, ""SEM (stomata/mm^2)"": 0.7, ""Treatment"": ""reflected sun""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""stomatal density (stomata/mm^2)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-003,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-003__response-01.jpg,"Researchers measured membrane leakage for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-003 at the top of your page.

| Treatment | Mean conductivity after 10 min (uS/cm) | SEM (uS/cm) |
| --- | --- | --- |
| isotonic | 31.0 | 1.4 |
| mild salt | 33.0 | 1.75 |
| moderate salt | 48.0 | 0.7 |
| high salt | 50.0 | 1.05 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis conductivity after 10 min (uS/cm). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,membrane leakage|categorical comparison|SEM error bars,"[{""Mean conductivity after 10 min (uS/cm)"": 31.0, ""SEM (uS/cm)"": 1.4, ""Treatment"": ""isotonic""}, {""Mean conductivity after 10 min (uS/cm)"": 33.0, ""SEM (uS/cm)"": 1.75, ""Treatment"": ""mild salt""}, {""Mean conductivity after 10 min (uS/cm)"": 48.0, ""SEM (uS/cm)"": 0.7, ""Treatment"": ""moderate salt""}, {""Mean conductivity after 10 min (uS/cm)"": 50.0, ""SEM (uS/cm)"": 1.05, ""Treatment"": ""high salt""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""conductivity after 10 min (uS/cm)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-004,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-004__response-01.jpg,"Researchers measured root tip mitosis for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-004 at the top of your page.

| Treatment | Mean mitotic cells (%) | SEM (%) |
| --- | --- | --- |
| cool | 42.0 | 1.75 |
| room temp | 50.0 | 0.7 |
| warm | 45.0 | 1.05 |
| heat stress | 57.0 | 1.4 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis mitotic cells (%). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,root tip mitosis|categorical comparison|SEM error bars,"[{""Mean mitotic cells (%)"": 42.0, ""SEM (%)"": 1.75, ""Treatment"": ""cool""}, {""Mean mitotic cells (%)"": 50.0, ""SEM (%)"": 0.7, ""Treatment"": ""room temp""}, {""Mean mitotic cells (%)"": 45.0, ""SEM (%)"": 1.05, ""Treatment"": ""warm""}, {""Mean mitotic cells (%)"": 57.0, ""SEM (%)"": 1.4, ""Treatment"": ""heat stress""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""mitotic cells (%)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-005,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-005__response-01.jpg,"Researchers measured enzyme product for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-005 at the top of your page.

| Treatment | Mean product formed in 5 min (umol) | SEM (umol) |
| --- | --- | --- |
| pH 5 | 37.0 | 0.7 |
| pH 6 | 55.0 | 1.05 |
| pH 7 | 42.0 | 1.4 |
| pH 8 | 60.0 | 1.75 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis product formed in 5 min (umol). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,enzyme product|categorical comparison|SEM error bars,"[{""Mean product formed in 5 min (umol)"": 37.0, ""SEM (umol)"": 0.7, ""Treatment"": ""pH 5""}, {""Mean product formed in 5 min (umol)"": 55.0, ""SEM (umol)"": 1.05, ""Treatment"": ""pH 6""}, {""Mean product formed in 5 min (umol)"": 42.0, ""SEM (umol)"": 1.4, ""Treatment"": ""pH 7""}, {""Mean product formed in 5 min (umol)"": 60.0, ""SEM (umol)"": 1.75, ""Treatment"": ""pH 8""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""product formed in 5 min (umol)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-006,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-006__response-01.jpg,"Researchers measured seed germination for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-006 at the top of your page.

| Treatment | Mean germination (%) | SEM (%) |
| --- | --- | --- |
| dark | 38.0 | 1.05 |
| red light | 46.0 | 1.4 |
| blue light | 57.0 | 1.75 |
| white light | 62.0 | 0.7 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis germination (%). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,seed germination|categorical comparison|SEM error bars,"[{""Mean germination (%)"": 38.0, ""SEM (%)"": 1.05, ""Treatment"": ""dark""}, {""Mean germination (%)"": 46.0, ""SEM (%)"": 1.4, ""Treatment"": ""red light""}, {""Mean germination (%)"": 57.0, ""SEM (%)"": 1.75, ""Treatment"": ""blue light""}, {""Mean germination (%)"": 62.0, ""SEM (%)"": 0.7, ""Treatment"": ""white light""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""germination (%)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-007,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-007__response-01.jpg,"Researchers measured yeast respiration for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-007 at the top of your page.

| Treatment | Mean CO2 produced (mL) | SEM (mL) |
| --- | --- | --- |
| no sugar | 66.0 | 1.4 |
| glucose | 60.0 | 1.75 |
| sucrose | 52.0 | 0.7 |
| starch | 45.0 | 1.05 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis CO2 produced (mL). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,yeast respiration|categorical comparison|SEM error bars,"[{""Mean CO2 produced (mL)"": 66.0, ""SEM (mL)"": 1.4, ""Treatment"": ""no sugar""}, {""Mean CO2 produced (mL)"": 60.0, ""SEM (mL)"": 1.75, ""Treatment"": ""glucose""}, {""Mean CO2 produced (mL)"": 52.0, ""SEM (mL)"": 0.7, ""Treatment"": ""sucrose""}, {""Mean CO2 produced (mL)"": 45.0, ""SEM (mL)"": 1.05, ""Treatment"": ""starch""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""CO2 produced (mL)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-008,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-008__response-01.jpg,"Researchers measured chloroplast settling for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-008 at the top of your page.

| Treatment | Mean green layer thickness (mm) | SEM (mm) |
| --- | --- | --- |
| control | 23.0 | 1.75 |
| low salt | 25.0 | 0.7 |
| medium salt | 40.0 | 1.05 |
| high salt | 42.0 | 1.4 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis green layer thickness (mm). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,chloroplast settling|categorical comparison|SEM error bars,"[{""Mean green layer thickness (mm)"": 23.0, ""SEM (mm)"": 1.75, ""Treatment"": ""control""}, {""Mean green layer thickness (mm)"": 25.0, ""SEM (mm)"": 0.7, ""Treatment"": ""low salt""}, {""Mean green layer thickness (mm)"": 40.0, ""SEM (mm)"": 1.05, ""Treatment"": ""medium salt""}, {""Mean green layer thickness (mm)"": 42.0, ""SEM (mm)"": 1.4, ""Treatment"": ""high salt""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""green layer thickness (mm)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-009,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-009__response-01.jpg,"Researchers measured callus growth for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-009 at the top of your page.

| Treatment | Mean mass gain (g) | SEM (g) |
| --- | --- | --- |
| no auxin | 34.0 | 0.7 |
| low auxin | 42.0 | 1.05 |
| medium auxin | 37.0 | 1.4 |
| high auxin | 49.0 | 1.75 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis mass gain (g). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,callus growth|categorical comparison|SEM error bars,"[{""Mean mass gain (g)"": 34.0, ""SEM (g)"": 0.7, ""Treatment"": ""no auxin""}, {""Mean mass gain (g)"": 42.0, ""SEM (g)"": 1.05, ""Treatment"": ""low auxin""}, {""Mean mass gain (g)"": 37.0, ""SEM (g)"": 1.4, ""Treatment"": ""medium auxin""}, {""Mean mass gain (g)"": 49.0, ""SEM (g)"": 1.75, ""Treatment"": ""high auxin""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""mass gain (g)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
HDG-2026-P1-CAT-010,v0.1-research-seed,frq,short,canonical_answer,categorical_comparison_supplied_uncertainty,,HDG-2026-P1-CAT-010__response-01.jpg,"Researchers measured water loss for four treatment groups. Use the data table to construct a graph that compares the group means. Include a categorical x-axis with the treatments in table order, a y-axis labeled with units, plotted means, and symmetric error bars showing plus or minus one SEM.

Write the item ID HDG-2026-P1-CAT-010 at the top of your page.

| Treatment | Mean mass lost in 30 min (g) | SEM (g) |
| --- | --- | --- |
| still air | 29.0 | 1.05 |
| fan low | 47.0 | 1.4 |
| fan medium | 34.0 | 1.75 |
| fan high | 52.0 | 0.7 |","Expected graph: categorical point-with-whisker or bar-with-whisker graph; x-axis treatment category in table order; y-axis mass lost in 30 min (g). Required criteria: REPRESENTATION_TYPE, CATEGORY_IDENTITY, Y_UNIT, Y_SCALE, PLOT_VALUES, UNCERTAINTY_MARKS.",AP Biology|data analysis|experimental design|graph construction,water loss|categorical comparison|SEM error bars,"[{""Mean mass lost in 30 min (g)"": 29.0, ""SEM (g)"": 1.05, ""Treatment"": ""still air""}, {""Mean mass lost in 30 min (g)"": 47.0, ""SEM (g)"": 1.4, ""Treatment"": ""fan low""}, {""Mean mass lost in 30 min (g)"": 34.0, ""SEM (g)"": 1.75, ""Treatment"": ""fan medium""}, {""Mean mass lost in 30 min (g)"": 52.0, ""SEM (g)"": 0.7, ""Treatment"": ""fan high""}]","{""accepted_variants"": [""points with whiskers"", ""bars with whiskers""], ""representation"": ""categorical point-with-whisker or bar-with-whisker graph"", ""required_uncertainty"": ""symmetric plus/minus one SEM bars"", ""x_axis"": ""treatment category in table order"", ""y_axis"": ""mass lost in 30 min (g)""}","[{""criterion_id"": ""REPRESENTATION_TYPE"", ""met_rule"": ""Uses accepted categorical graph representation.""}, {""criterion_id"": ""CATEGORY_IDENTITY"", ""met_rule"": ""All four treatments are identifiable in table order or clearly mapped.""}, {""criterion_id"": ""Y_UNIT"", ""met_rule"": ""Y-axis includes the required variable and unit.""}, {""criterion_id"": ""Y_SCALE"", ""met_rule"": ""Y-scale is interpretable and can represent all means and SEM bars.""}, {""criterion_id"": ""PLOT_VALUES"", ""met_rule"": ""All four means are plotted at recoverable positions.""}, {""criterion_id"": ""UNCERTAINTY_MARKS"", ""met_rule"": ""Each mean has centered symmetric plus/minus SEM bars.""}]",independently_authored_synthetic_research_seed_unverified,Research seed for hand-drawn graph capture and reviewer evaluation. Do not expose criterion definitions to the person drawing the graph.
