content_key,content_item_id,content_item_version_id,subject_key,item_type,current_total_points,rubric_point_sum,rubric_shape,recommended_action,recommended_value,alternative_action,alternative_value,runtime_evidence,confidence
APBIO-FRQ-L-004,905df3c1-d797-456c-8caf-cfdb3721b29e,c721f9eb-1f78-4fa0-b035-15701b663bde,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-006,786c5b62-f352-4077-91bf-b2a788c152c0,9aaacb20-9b11-4867-aaff-57ec9dbb07cf,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-012,a1101c5f-7dfa-4899-b766-c8bdf3d1e366,1514c2ee-7cc6-4173-b547-b1f5535a4e95,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-013,ccf9a896-ab8f-48b6-9f19-10c043ab14af,3f39e127-2862-4a16-9805-c8ad8251a224,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-015,4a84a371-50b8-47a1-8089-16ead0b41331,f9ab1b6b-ec52-479b-9c31-fbad9dcc62e8,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-016,3f243cab-1291-4bac-8b7a-17ca56aad92c,2fea6947-66ba-4080-9bcb-863c35adeb1b,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-017,f420df2b-d478-4795-b646-0f4a13a04b59,1840ca34-d29d-45f2-b0c1-831759df1d46,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-019,65bd0d29-e854-416e-bd1c-3b5c966de99c,0d8bb422-95ef-4e50-884e-38f83cb4cf6a,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
APBIO-FRQ-L-021,0880b181-fd70-4b8e-8659-48aeac65fff0,072da3bc-ba23-4a52-8ef5-f1bb9a8ae49a,biology,frq,8,9,a=1;b=3;c=3;d=2,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
apchem-frq-l-012,3979d2c7-bd51-4adc-9653-e5d09d9a5d6a,d08e7fa8-d88d-42cd-a7b9-e113c478ac9d,ap-chemistry,frq,10,9,a1=2;a2=2;a3=3;a4=1;a5=1,remove_prompt_json_total_points,,set_prompt_json_total_points_to_rubric_sum,9,evaluate-attempt sums frq_criteria.points_possible; no runtime reads prompt_json.total_points,high
