content_key,content_item_id,content_item_version_id,subject_key,item_type,current_rubric_type,current_evaluator_strategy,prompt_rubric_type,prompt_evaluator_strategy,proposed_rubric_type,proposed_evaluator_strategy,routing_basis,behavior_change,confidence
APBIO-FRQ-L-031,7e403aba-b29d-4d6f-9cc5-33cff23c2597,4bc0591a-b1a8-4709-9e8d-b749210972b7,biology,frq,,,,,discrete_text,llm_discrete_text,published item_type fallback made explicit,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD3-E002,3a187fa6-d745-463a-be2b-49579aa87a84,882d7377-1634-46a9-88c8-a46680c837db,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD3-E005,649b4aec-efb7-4ed1-a606-6b873ed321b8,bd6662e5-ef20-4a53-8c9f-0a4010d2470c,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD3-H001-INV,d2ac22b2-f075-41df-a05d-897aa44f436b,decf1d69-0fb2-4bd6-8d71-a587a46bff57,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD4-H001-INV,e053bb22-4805-44ab-9003-36b2e93987ab,b045075d-724f-4248-8a3b-e0f0c68e82a0,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD4-M001,40c0226d-ff9d-4927-8c72-75b1cdbc2dd2,80a0b867-d6e6-4bf6-999c-323c357f10f1,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD4-M003,a2a8e8f7-f1f4-444f-a31d-cef8ec4d3c11,15a93acc-e093-49fc-ae64-baa0e77a2c5c,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD4-M004,c2f7d698-bd32-4f2e-bb91-c2119089c233,55a833f4-ab5f-4437-b36f-748038236300,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD5-H001-INV,c620d7d3-1a93-49ac-8d81-654c7767125f,b0d3059b-0072-44d5-8543-eb16cc79a17b,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
APSTAT-MOD5-M001,6a376f40-6f50-42b9-b478-27f91cd92aa1,acf20fc2-bc25-42e9-9068-fea69c26c89c,ap-statistics,frq,,,discrete_text,llm_discrete_text,discrete_text,llm_discrete_text,prompt_json mirror,none; proposal materializes the route already selected by prompt metadata or item-type fallback,high
