content_key,content_item_id,criterion_key,points_possible,span_index,status,provenance,confidence,flags
apphycem-frq-001,e6b76806-798d-4c6c-8889-b819b61efca2,part-a,1,3,covered,authored,high,restatement_justified
apphycem-frq-001,e6b76806-798d-4c6c-8889-b819b61efca2,part-b,1,5,covered,authored,high,restatement_justified
apphycem-frq-004,e10691a9-fb12-47ca-9b71-a23cdf1bf8d2,part-a,1,3,covered,authored,high,restatement_justified
apphycem-frq-004,e10691a9-fb12-47ca-9b71-a23cdf1bf8d2,part-b,1,5,covered,authored,high,restatement_justified
apphycem-frq-005,3cd1c923-ceca-48c0-8a4d-b351c45d3415,part-a,1,3,covered,authored,medium,
apphycem-frq-005,3cd1c923-ceca-48c0-8a4d-b351c45d3415,part-b,1,5,covered,authored,high,restatement_justified
apphycem-frq-006,9801e506-c7bd-45bf-893c-3fb30bc6aa70,part-a,1,3,covered,authored,medium,
apphycem-frq-006,9801e506-c7bd-45bf-893c-3fb30bc6aa70,part-b,1,5,covered,authored,high,restatement_justified
apphycem-frq-010,dd3bab76-7b1e-407b-a13a-56f203a49666,part-a,1,3,covered,authored,high,restatement_justified
apphycem-frq-010,dd3bab76-7b1e-407b-a13a-56f203a49666,part-b,1,5,covered,authored,high,
apphycem-frq-012,9f449c41-eaf4-4230-8b31-c183e0f73de4,part-a,1,3,covered,authored,high,restatement_justified
apphycem-frq-012,9f449c41-eaf4-4230-8b31-c183e0f73de4,part-b,1,5,covered,authored,high,
apphycem-frq-015,02b4ad79-8080-4327-a93a-049c2bfb9cf9,part-a,1,3,covered,authored,high,restatement_justified
apphycem-frq-015,02b4ad79-8080-4327-a93a-049c2bfb9cf9,part-b,1,5,covered,authored,high,
apphycem-frq-016,67e8fe5c-997c-41f3-8e5b-8318dd8bb47d,part-a,1,3,covered,authored,high,
apphycem-frq-016,67e8fe5c-997c-41f3-8e5b-8318dd8bb47d,part-b,1,5,covered,authored,high,restatement_justified
apphycem-frq-018,2a667057-e0ae-4bd5-b969-b2f07995c410,a-diagram,1,3,covered,authored,high,restatement_justified
apphycem-frq-018,2a667057-e0ae-4bd5-b969-b2f07995c410,b-conductor,1,5,covered,authored,high,restatement_justified
apphycem-frq-018,2a667057-e0ae-4bd5-b969-b2f07995c410,b-sheet,1,7,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,a-element,1,3,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,a-integral,1,5,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,a-result,1,7,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,b-charge,1,9,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,b-compare,1,11,covered,authored,high,restatement_justified
apphycem-frq-020,bde8c19c-e36f-4478-8ea9-e159fe0ad94d,c-far,1,13,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,a-integral,1,3,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,a-result,1,5,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,a-ring,1,7,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,b-field,1,9,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,c-field-far,1,11,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,c-field-surface,1,13,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,c-potential-far,1,15,covered,authored,high,restatement_justified
apphycem-frq-021,371b3b19-2300-4edc-a6f6-8224b05cc3ea,c-potential-near,1,17,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,a-baseline,1,3,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,a-kappa,1,5,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,b-energy,1,7,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,b-field,1,9,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,b-voltage,1,11,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,c-controls,1,13,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,c-fitting,1,15,covered,authored,high,restatement_justified
apphycem-frq-025,82104698-a8de-449d-afec-f2fb401bca24,c-leakage,1,17,covered,authored,high,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,a-diagram,1,3,covered,authored,medium,
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,a-left,1,5,covered,authored,high,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,a-right,1,7,covered,authored,medium,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,b-matrix,1,9,covered,authored,high,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,b-solution,1,11,covered,authored,high,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,c-junction,1,13,covered,authored,high,restatement_justified
apphycem-frq-027,1c7b41cb-a82e-42d3-bd48-3e26dfcdff71,c-power,1,15,covered,authored,high,restatement_justified
apphycem-frq-028,f01866f4-9b55-4c8a-8980-9f75d53be61e,a-data,1,3,covered,authored,high,restatement_justified
apphycem-frq-028,f01866f4-9b55-4c8a-8980-9f75d53be61e,a-reference,1,5,covered,authored,medium,
apphycem-frq-028,f01866f4-9b55-4c8a-8980-9f75d53be61e,b-controls,1,7,covered,authored,high,restatement_justified
apphycem-frq-028,f01866f4-9b55-4c8a-8980-9f75d53be61e,b-diagnostic,1,9,covered,authored,high,restatement_justified
apphycem-frq-028,f01866f4-9b55-4c8a-8980-9f75d53be61e,b-graph,1,11,covered,authored,high,restatement_justified
apphycem-frq-031,a13708e0-5eb5-4173-8987-bbcc7a32d134,a-loop,1,3,covered,authored,high,restatement_justified
apphycem-frq-031,a13708e0-5eb5-4173-8987-bbcc7a32d134,a-result,1,5,covered,authored,high,restatement_justified
apphycem-frq-031,a13708e0-5eb5-4173-8987-bbcc7a32d134,b-approximations,1,7,covered,authored,high,restatement_justified
apphycem-frq-031,a13708e0-5eb5-4173-8987-bbcc7a32d134,b-inner,1,9,covered,authored,high,restatement_justified
apphycem-frq-031,a13708e0-5eb5-4173-8987-bbcc7a32d134,b-outer,1,11,covered,authored,high,restatement_justified
apphycem-frq-032,4d776f1c-a74a-409e-a0fa-d8134ef37dc3,a-procedure,1,3,covered,authored,high,
apphycem-frq-032,4d776f1c-a74a-409e-a0fa-d8134ef37dc3,b-controls,1,5,covered,authored,high,restatement_justified
apphycem-frq-032,4d776f1c-a74a-409e-a0fa-d8134ef37dc3,b-determineB,1,7,covered,authored,medium,restatement_justified
apphycem-frq-032,4d776f1c-a74a-409e-a0fa-d8134ef37dc3,b-graph,1,9,covered,authored,high,restatement_justified
apphycem-frq-032,4d776f1c-a74a-409e-a0fa-d8134ef37dc3,b-zerocorrection,1,11,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,a-current,1,3,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,a-direction,1,5,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,a-emf,1,7,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,b-external,1,9,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,b-force,1,11,covered,authored,high,restatement_justified
apphycem-frq-033,ff8d91e6-14b1-4cee-941e-26cfbab84c6b,c-power,1,13,covered,authored,high,restatement_justified
apphycem-frq-034,86c987f4-a235-4908-9b68-3d9f945eeba3,a-current,1,3,covered,authored,high,restatement_justified
apphycem-frq-034,86c987f4-a235-4908-9b68-3d9f945eeba3,a-voltage,1,5,covered,authored,high,
apphycem-frq-034,86c987f4-a235-4908-9b68-3d9f945eeba3,b-continuity,1,7,covered,authored,high,restatement_justified
apphycem-frq-034,86c987f4-a235-4908-9b68-3d9f945eeba3,b-heat,1,9,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-03,1,5,covered,authored,high,
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-04,1,7,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-05,1,9,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-06,1,11,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-a-criterion-07,1,13,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-b-criterion-01,1,15,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-b-criterion-02,1,17,covered,authored,high,restatement_justified
apphycem-frq-035,6968abce-53ea-4e41-a7e9-5254292d75f1,part-b-criterion-03,1,19,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-a-criterion-03,1,5,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-b-criterion-01,1,7,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-b-criterion-02,1,9,covered,authored,high,
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-b-criterion-03,1,11,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-b-criterion-04,1,13,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-c-criterion-01,1,15,covered,authored,medium,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-c-criterion-02,1,17,covered,authored,medium,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-c-criterion-03,1,19,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-d-criterion-01,1,21,covered,authored,high,restatement_justified
apphycem-frq-036,02ff8659-872a-482b-aa7c-84064b73a39e,part-d-criterion-02,1,23,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-a-criterion-02,1,3,covered,authored,medium,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-b-criterion-01,1,5,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-b-criterion-02,1,7,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-c-criterion-01,1,9,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-c-criterion-02,1,11,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-c-criterion-03,1,13,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-c-criterion-04,1,15,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-d-criterion-01,1,17,covered,authored,high,restatement_justified
apphycem-frq-037,43ab78d7-2048-409d-aed0-c93f53192868,part-d-criterion-02,1,19,covered,authored,medium,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-a-criterion-02,1,3,covered,authored,medium,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-a-criterion-03,1,5,covered,authored,high,
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-b-criterion-01,1,7,covered,authored,high,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-b-criterion-02,1,9,covered,authored,high,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-b-criterion-03,1,11,covered,authored,high,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-c-criterion-01,1,13,covered,authored,high,restatement_justified
apphycem-frq-038,6b9d6ac6-f532-4fb7-a4ab-92c3ca9c721d,part-c-criterion-02,1,15,covered,authored,high,restatement_justified
apphycem-frq-040,2ed10d3e-0305-481a-a8c3-51366993d690,part-a,1,1,covered,authored,high,restatement_justified
apphycem-frq-040,2ed10d3e-0305-481a-a8c3-51366993d690,part-b,1,3,covered,authored,high,restatement_justified
apphycem-frq-042,2da69394-c727-411e-a9d6-2acd61a41051,a-integration,1,1,covered,authored,high,restatement_justified
apphycem-frq-042,2da69394-c727-411e-a9d6-2acd61a41051,a-setup,1,3,covered,authored,high,restatement_justified
apphycem-frq-042,2da69394-c727-411e-a9d6-2acd61a41051,b-numeric,1,5,covered,authored,high,restatement_justified
apphycem-frq-048,dd784904-8549-4369-afc2-0cffa011e6a7,a-flux,1,1,covered,authored,high,restatement_justified
apphycem-frq-048,dd784904-8549-4369-afc2-0cffa011e6a7,a-prediction,1,3,covered,authored,high,restatement_justified
apphycem-frq-048,dd784904-8549-4369-afc2-0cffa011e6a7,b-explanation,1,5,covered,authored,high,restatement_justified
apphycem-frq-049,b271425b-81e7-4470-a193-6cfc766546cb,a-enclosed-integral,1,1,covered,authored,high,restatement_justified
apphycem-frq-049,b271425b-81e7-4470-a193-6cfc766546cb,a-field-expression,1,3,covered,authored,high,restatement_justified
apphycem-frq-049,b271425b-81e7-4470-a193-6cfc766546cb,a-gaussian-surface,1,5,covered,authored,high,restatement_justified
apphycem-frq-049,b271425b-81e7-4470-a193-6cfc766546cb,a-integral-evaluation,1,7,covered,authored,high,restatement_justified
apphycem-frq-049,b271425b-81e7-4470-a193-6cfc766546cb,b-numeric,1,9,covered,authored,high,restatement_justified
apphycem-frq-050,b05eeeb8-81af-415e-a023-c655c515f5c9,a-derivation,1,1,covered,authored,high,restatement_justified
apphycem-frq-050,b05eeeb8-81af-415e-a023-c655c515f5c9,a-integral-setup,1,3,covered,authored,high,restatement_justified
apphycem-frq-050,b05eeeb8-81af-415e-a023-c655c515f5c9,a-numeric,1,5,covered,authored,high,restatement_justified
apphycem-frq-050,b05eeeb8-81af-415e-a023-c655c515f5c9,b-justification,1,7,covered,authored,high,restatement_justified
apphycem-frq-050,b05eeeb8-81af-415e-a023-c655c515f5c9,b-prediction,1,9,covered,authored,high,restatement_justified
apphycem-frq-051,67e76fc9-4f4d-464c-a15f-0b53e785d820,a-final-expression,1,1,covered,authored,high,restatement_justified
apphycem-frq-051,67e76fc9-4f4d-464c-a15f-0b53e785d820,a-integration,1,3,covered,authored,high,restatement_justified
apphycem-frq-051,67e76fc9-4f4d-464c-a15f-0b53e785d820,a-lambda,1,5,covered,authored,high,restatement_justified
apphycem-frq-051,67e76fc9-4f4d-464c-a15f-0b53e785d820,a-setup,1,7,covered,authored,high,restatement_justified
apphycem-frq-051,67e76fc9-4f4d-464c-a15f-0b53e785d820,b-numeric,1,9,covered,authored,high,restatement_justified
apphycem-frq-053,7a79eb3e-68d4-41ba-abed-9f00423d0aa7,a-charge,1,1,covered,authored,high,restatement_justified
apphycem-frq-053,7a79eb3e-68d4-41ba-abed-9f00423d0aa7,a-integral-evaluation,1,3,covered,authored,high,restatement_justified
apphycem-frq-053,7a79eb3e-68d4-41ba-abed-9f00423d0aa7,a-integral-setup,1,5,covered,authored,high,restatement_justified
apphycem-frq-053,7a79eb3e-68d4-41ba-abed-9f00423d0aa7,b-battery-energy,1,7,covered,authored,high,restatement_justified
apphycem-frq-053,7a79eb3e-68d4-41ba-abed-9f00423d0aa7,b-explanation,1,9,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,a-enclosed-integral,1,1,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,a-field-expression,1,3,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,a-gaussian-setup,1,5,covered,authored,high,
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,b-field-expression,1,7,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,b-total-charge,1,9,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,c-numeric-inside,1,11,covered,authored,high,restatement_justified
apphycem-frq-056,ce183d2c-e8a8-4b15-af55-ab3b4fd25299,c-numeric-outside,1,13,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-a-criterion-03,1,5,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-a-criterion-04,1,7,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-b-criterion-01,1,9,covered,authored,high,restatement_justified
apphycem-frq-np1-001,75d922c3-cccf-408d-8192-63c6051cf99c,part-b-criterion-02,1,11,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-a-criterion-03,1,5,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-a-criterion-04,1,7,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-b-criterion-01,1,9,covered,authored,high,restatement_justified
apphycem-frq-np1-002,3c9985eb-45fa-49b6-81f6-614ba43667ec,part-b-criterion-02,1,11,covered,authored,high,restatement_justified
apphycem-frq-np1-003,ec33d116-d873-40dc-9d97-44710f73ac69,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-003,ec33d116-d873-40dc-9d97-44710f73ac69,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-np1-003,ec33d116-d873-40dc-9d97-44710f73ac69,part-a-criterion-03,1,5,covered,authored,high,
apphycem-frq-np1-003,ec33d116-d873-40dc-9d97-44710f73ac69,part-b-criterion-01,1,7,covered,authored,high,restatement_justified
apphycem-frq-np1-003,ec33d116-d873-40dc-9d97-44710f73ac69,part-b-criterion-02,1,9,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-b-criterion-01,1,5,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-b-criterion-02,1,7,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-c-criterion-01,1,9,covered,authored,high,restatement_justified
apphycem-frq-np1-004,8f32d452-a045-4525-a31f-48989dce41ed,part-c-criterion-02,1,11,covered,authored,high,restatement_justified
apphycem-frq-np1-005,bef244a4-d9a0-4da0-9c37-a8854637b05e,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-005,bef244a4-d9a0-4da0-9c37-a8854637b05e,part-b-criterion-01,1,3,covered,authored,high,
apphycem-frq-np1-005,bef244a4-d9a0-4da0-9c37-a8854637b05e,part-b-criterion-02,1,5,covered,authored,high,
apphycem-frq-np1-005,bef244a4-d9a0-4da0-9c37-a8854637b05e,part-c-criterion-01,1,7,covered,authored,high,restatement_justified
apphycem-frq-np1-005,bef244a4-d9a0-4da0-9c37-a8854637b05e,part-c-criterion-02,1,9,covered,authored,high,
apphycem-frq-np1-006,4ce86170-c19a-4083-ac25-9269a08c4542,part-a-criterion-01,1,1,covered,authored,high,restatement_justified
apphycem-frq-np1-006,4ce86170-c19a-4083-ac25-9269a08c4542,part-a-criterion-02,1,3,covered,authored,high,restatement_justified
apphycem-frq-np1-006,4ce86170-c19a-4083-ac25-9269a08c4542,part-a-criterion-03,1,5,covered,authored,high,restatement_justified
apphycem-frq-np1-006,4ce86170-c19a-4083-ac25-9269a08c4542,part-b-criterion-01,1,7,covered,authored,high,restatement_justified
