content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apcalcbc-frq-002,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-2-differentiation-definition-and-fundamental-properties"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-003,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-3-differentiation-composite-implicit-and-inverse-functions"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-004,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-4-contextual-applications-of-differentiation"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-005,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-5-analytical-applications-of-differentiation"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-007,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-6-integration-and-accumulation-of-change"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-008,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-6-integration-and-accumulation-of-change"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-010,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-7-differential-equations"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-011,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-8-applications-of-integration"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-012,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-9-parametric-polar-and-vector-valued-functions"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-013,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-9-parametric-polar-and-vector-valued-functions"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-014,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-10-infinite-sequences-and-series"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-015,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-10-infinite-sequences-and-series"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-016,ap-calculus-bc,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":[{""node_key"":""unit-10-infinite-sequences-and-series"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-calculus-bc-2025-26"",""scheme_version"":""1.0.0""}]}"
apcalcbc-frq-017,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-1-limits-and-continuity"",""topic-1.13"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-018,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-1-limits-and-continuity"",""topic-1.16"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-019,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-2-differentiation-fundamental-properties"",""topic-2.8"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-020,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-3-differentiation-composite-implicit-inverse"",""topic-3.2"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-021,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-4-contextual-applications-of-differentiation"",""topic-4.3"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-022,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-5-analytical-applications-of-differentiation"",""topic-5.9"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-023,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-5-analytical-applications-of-differentiation"",""topic-5.4"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-024,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-6-integration-and-accumulation"",""topic-6.4"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-025,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-6-integration-and-accumulation"",""topic-6.14"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-026,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-6-integration-and-accumulation"",""topic-6.5"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-027,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-7-differential-equations"",""topic-7.6"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-028,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-8-applications-of-integration"",""topic-8.7"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-029,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-9-parametric-polar-vector-valued-functions"",""topic-9.2"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-030,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-9-parametric-polar-vector-valued-functions"",""topic-9.6"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-031,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-9-parametric-polar-vector-valued-functions"",""topic-9.8"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-032,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-10-infinite-sequences-and-series"",""topic-10.15"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-033,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-10-infinite-sequences-and-series"",""topic-10.9"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apcalcbc-frq-034,ap-calculus-bc,frq,,,false,false,"{""modules"":[""unit-10-infinite-sequences-and-series"",""topic-10.14"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
