template_family,item_count,content_keys
legacy:frq:symbolic:topic-3.5,1,apcalcbc-frq-002
legacy:frq:symbolic:topic-3.2,2,apcalcbc-frq-003|apcalcbc-frq-020
legacy:frq:symbolic:topic-4.2,1,apcalcbc-frq-004
legacy:frq:symbolic:topic-5.4,1,apcalcbc-frq-005
legacy:frq:symbolic:topic-6.14,2,apcalcbc-frq-007|apcalcbc-frq-025
legacy:frq:symbolic:topic-6.13,1,apcalcbc-frq-008
legacy:frq:symbolic:topic-7.9,2,apcalcbc-frq-010|apcalcbc-frq-038
legacy:frq:symbolic:topic-8.13,1,apcalcbc-frq-011
legacy:frq:symbolic:topic-9.1,1,apcalcbc-frq-012
legacy:frq:symbolic:topic-9.8,1,apcalcbc-frq-013
legacy:frq:symbolic:topic-10.13,1,apcalcbc-frq-014
legacy:frq:symbolic:topic-10.10,1,apcalcbc-frq-015
legacy:frq:symbolic:topic-10.11,1,apcalcbc-frq-016
legacy:frq:symbolic:topic-1.13,1,apcalcbc-frq-017
legacy:frq:symbolic:topic-1.16,1,apcalcbc-frq-018
legacy:frq:symbolic:topic-2.8,1,apcalcbc-frq-019
legacy:frq:symbolic:topic-8.3,1,apcalcbc-frq-021
legacy:frq:symbolic:topic-5.5,2,apcalcbc-frq-022|apcalcbc-frq-023
legacy:frq:symbolic:topic-6.4,1,apcalcbc-frq-024
legacy:frq:symbolic:topic-6.5,1,apcalcbc-frq-026
legacy:frq:symbolic:topic-7.5,1,apcalcbc-frq-027
legacy:frq:symbolic:topic-8.7,1,apcalcbc-frq-028
legacy:frq:symbolic:topic-9.2,1,apcalcbc-frq-029
legacy:frq:symbolic:topic-9.6,1,apcalcbc-frq-030
legacy:frq:symbolic:topic-9.7,1,apcalcbc-frq-031
legacy:frq:symbolic:topic-10.15,3,apcalcbc-frq-032|apcalcbc-frq-034|apcalcbc-frq-036
legacy:frq:symbolic:topic-10.1,1,apcalcbc-frq-033
legacy:frq:symbolic:topic-10.12,1,apcalcbc-frq-035
