content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphy1-frq-001,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-012,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-014,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-015,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-7-oscillations"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-017,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-018,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-019,ap-physics-1,frq,1.4,1.4,true,false,"{""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-020,ap-physics-1,frq,1.3,1.3,true,false,"{""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-021,ap-physics-1,frq,2.2,2.2,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-022,ap-physics-1,frq,2.7,2.7,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-023,ap-physics-1,frq,2.9,2.9,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-024,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-025,ap-physics-1,frq,3.2,3.2,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-026,ap-physics-1,frq,3.4,3.4,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-027,ap-physics-1,frq,3.5,3.5,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-029,ap-physics-1,frq,4.4,4.4,true,false,"{""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-030,ap-physics-1,frq,4.2,4.2,true,false,"{""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-031,ap-physics-1,frq,5.4,5.4,true,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-032,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-033,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-035,ap-physics-1,frq,"Work, Energy, and Power",,false,false,"{""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""unit"":3,""taxonomy_refs"":null}"
apphy1-frq-037,ap-physics-1,frq,Fluids,,false,false,"{""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""unit"":8,""taxonomy_refs"":null}"
apphy1-frq-038,ap-physics-1,frq,Oscillations,,false,false,"{""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""unit"":7,""taxonomy_refs"":null}"
apphy1-frq-039,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-040,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-041,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-042,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-043,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-044,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-045,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-046,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-047,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
