template_family,item_count,content_keys
legacy:frq:quantitative:topic-1.2,3,apphy1-frq-001|apphy1-frq-039|apphy1-frq-042
legacy:frq:experimental:topic-4.4,1,apphy1-frq-012
legacy:frq:quantitative:topic-6.5,1,apphy1-frq-014
legacy:frq:quantitative:topic-7.4,2,apphy1-frq-015|apphy1-frq-038
legacy:frq:quantitative:topic-6.6,1,apphy1-frq-017
legacy:frq:quantitative:topic-8.3,1,apphy1-frq-018
legacy:frq:quantitative:topic-1.4,2,apphy1-frq-019|apphy1-frq-048
legacy:frq:experimental:topic-1.3,1,apphy1-frq-020
legacy:frq:quantitative:topic-2.2,1,apphy1-frq-021
legacy:frq:experimental:topic-2.7,1,apphy1-frq-022
legacy:frq:quantitative:topic-2.9,2,apphy1-frq-023|apphy1-frq-055
legacy:frq:quantitative:topic-2.1,1,apphy1-frq-024
legacy:frq:quantitative:topic-3.2,1,apphy1-frq-025
legacy:frq:quantitative:topic-3.4,5,apphy1-frq-026|apphy1-frq-035|apphy1-frq-044|apphy1-frq-050|apphy1-frq-056
legacy:frq:quantitative:topic-3.5,2,apphy1-frq-027|apphy1-frq-047
legacy:frq:quantitative:topic-4.4,1,apphy1-frq-029
legacy:frq:graphical:topic-4.2,1,apphy1-frq-030
legacy:frq:quantitative:topic-5.4,1,apphy1-frq-031
legacy:frq:experimental:topic-5.5,1,apphy1-frq-032
legacy:frq:quantitative:topic-7.3,1,apphy1-frq-033
legacy:frq:quantitative:topic-8.2,1,apphy1-frq-037
legacy:frq:quantitative:topic-2.7,2,apphy1-frq-040|apphy1-frq-046
legacy:frq:experimental:topic-3.5,1,apphy1-frq-041
legacy:frq:quantitative:topic-2.5,3,apphy1-frq-043|apphy1-frq-052|apphy1-frq-058
legacy:frq:experimental:topic-1.5,2,apphy1-frq-045|apphy1-frq-057
legacy:frq:experimental:topic-2.8,1,apphy1-frq-049
legacy:frq:graphical:topic-1.3,1,apphy1-frq-051
legacy:frq:experimental:topic-3.2,1,apphy1-frq-053
legacy:frq:quantitative:topic-1.5,1,apphy1-frq-054
np1:frq:quantitative:topic-1.2,1,apphy1-frq-np1-001
np1:frq:graphical:topic-1.3,1,apphy1-frq-np1-002
np1:frq:quantitative:topic-1.5,1,apphy1-frq-np1-003
np1:frq:quantitative:topic-2.7,1,apphy1-frq-np1-004
np1:frq:quantitative:topic-2.5,1,apphy1-frq-np1-005
np1:frq:quantitative:topic-2.9,2,apphy1-frq-np1-006|apphy1-frq-np1-007
np1:frq:quantitative:topic-3.2,1,apphy1-frq-np1-008
np1:frq:quantitative:topic-3.4,1,apphy1-frq-np1-009
np1:frq:quantitative:topic-3.5,1,apphy1-frq-np1-010
np2:frq:experimental:topic-7.2,1,apphy1-frq-np2-007
legacy:mcq:quantitative:topic-1.2,2,apphy1-mcq-001|apphy1-mcq-027
legacy:mcq:quantitative:topic-2.5,1,apphy1-mcq-003
legacy:mcq:quantitative:topic-2.3,2,apphy1-mcq-004|apphy1-mcq-030
legacy:mcq:quantitative:topic-2.7,2,apphy1-mcq-005|apphy1-mcq-032
legacy:mcq:quantitative:topic-3.2,3,apphy1-mcq-006|apphy1-mcq-020|apphy1-mcq-037
legacy:mcq:quantitative:topic-3.1,2,apphy1-mcq-007|apphy1-mcq-036
