content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphycem-frq-001,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-004,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-005,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-006,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-008,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":[""unit-9-electric-potential"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-009,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":[""unit-10-conductors-and-capacitors"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-010,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-011,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":[""unit-12-magnetic-fields-and-electromagnetism"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-012,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-013,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":[""unit-8-electric-charges-fields-and-gauss-s-law"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-014,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":[""unit-9-electric-potential"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-015,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-016,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-017,ap-physics-c-em,frq,8.4,8.4,true,false,"{""unit"":null,""modules"":[""unit-8-electric-charges-fields-and-gauss-s-law"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-018,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-020,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-021,ap-physics-c-em,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-022,ap-physics-c-em,frq,9.3,9.3,true,false,"{""unit"":null,""modules"":[""unit-9-electric-potential"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycem-frq-023,ap-physics-c-em,frq,9.2,9.2,true,false,"{""unit"":null,""modules"":[""unit-9-electric-potential"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
