template_family,item_count,content_keys
legacy:frq:8.6,5,apphycem-frq-001|apphycem-frq-013|apphycem-frq-018|apphycem-frq-049|apphycem-frq-056
legacy:frq:11.8,4,apphycem-frq-004|apphycem-frq-010|apphycem-frq-016|apphycem-frq-029
legacy:frq:12.4,2,apphycem-frq-005|apphycem-frq-031
legacy:frq:13.5,3,apphycem-frq-006|apphycem-frq-012|apphycem-frq-034
legacy:frq:9.2,5,apphycem-frq-008|apphycem-frq-014|apphycem-frq-021|apphycem-frq-023|apphycem-frq-051
legacy:frq:10.3,3,apphycem-frq-009|apphycem-frq-015|apphycem-frq-053
legacy:frq:12.3,1,apphycem-frq-011
legacy:frq:8.4,4,apphycem-frq-017|apphycem-frq-020|apphycem-frq-042|apphycem-frq-050
legacy:frq:9.3,1,apphycem-frq-022
legacy:frq:10.4,1,apphycem-frq-025
legacy:frq:11.1,1,apphycem-frq-026
legacy:frq:11.6,1,apphycem-frq-027
legacy:frq:11.3,1,apphycem-frq-028
legacy:frq:12.2,1,apphycem-frq-032
legacy:frq:13.3,1,apphycem-frq-033
unit-hint:frq:8.6,1,apphycem-frq-035
unit-hint:frq:11.8,1,apphycem-frq-036
unit-hint:frq:12.4,1,apphycem-frq-037
unit-hint:frq:13.3,1,apphycem-frq-038
legacy:frq:8.3,1,apphycem-frq-040
legacy:frq:8.5,1,apphycem-frq-048
np1:frq:8.6,2,apphycem-frq-np1-001|apphycem-frq-np1-002
np1:frq:8.4,1,apphycem-frq-np1-003
np1:frq:9.2,1,apphycem-frq-np1-004
np1:frq:10.1,1,apphycem-frq-np1-005
np1:frq:9.1,1,apphycem-frq-np1-006
np1:frq:8.5,1,apphycem-frq-np1-007
np1:frq:10.4,2,apphycem-frq-np1-009|apphycem-frq-np1-010
legacy:mcq:8.5,3,apphycem-mcq-001|apphycem-mcq-003|apphycem-mcq-024
legacy:mcq:8.6,3,apphycem-mcq-002|apphycem-mcq-019|apphycem-mcq-025
legacy:mcq:9.2,3,apphycem-mcq-005|apphycem-mcq-006|apphycem-mcq-027
legacy:mcq:10.3,2,apphycem-mcq-007|apphycem-mcq-008
legacy:mcq:10.1,2,apphycem-mcq-009|apphycem-mcq-029
legacy:mcq:11.8,3,apphycem-mcq-010|apphycem-mcq-011|apphycem-mcq-036
legacy:mcq:11.7,1,apphycem-mcq-012
legacy:mcq:12.3,1,apphycem-mcq-013
legacy:mcq:12.4,2,apphycem-mcq-014|apphycem-mcq-039
legacy:mcq:12.2,2,apphycem-mcq-015|apphycem-mcq-038
legacy:mcq:13.2,2,apphycem-mcq-016|apphycem-mcq-020
legacy:mcq:13.5,1,apphycem-mcq-017
legacy:mcq:13.6,1,apphycem-mcq-018
legacy:mcq:8.1,1,apphycem-mcq-021
legacy:mcq:8.3,1,apphycem-mcq-022
legacy:mcq:8.4,1,apphycem-mcq-023
legacy:mcq:9.1,1,apphycem-mcq-026
legacy:mcq:9.3,1,apphycem-mcq-028
legacy:mcq:10.4,1,apphycem-mcq-030
legacy:mcq:11.1,1,apphycem-mcq-031
legacy:mcq:11.2,1,apphycem-mcq-032
legacy:mcq:11.3,1,apphycem-mcq-033
legacy:mcq:11.6,1,apphycem-mcq-035
legacy:mcq:12.1,1,apphycem-mcq-037
legacy:mcq:13.1,1,apphycem-mcq-040
legacy:mcq:13.3,1,apphycem-mcq-041
legacy:mcq:13.4,1,apphycem-mcq-042
np1:mcq:8.6,3,apphycem-mcq-np1-001|apphycem-mcq-np1-002|apphycem-mcq-np1-006
np1:mcq:9.2,2,apphycem-mcq-np1-003|apphycem-mcq-np1-004
np1:mcq:10.4,1,apphycem-mcq-np1-005
np1:mcq:10.1,1,apphycem-mcq-np1-009
np1:mcq:8.5,1,apphycem-mcq-np1-010
