content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphycm-frq-001,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-003,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-004,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-005,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-007,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-008,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-1-kinematics"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-009,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-010,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-011,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-012,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-013,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-015,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-016,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-017,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-018,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-019,ap-physics-c-mechanics,frq,2.10,2.10,true,false,"{""unit"":null,""topic"":""2.10"",""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-020,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-022,ap-physics-c-mechanics,frq,3.2,3.2,true,false,"{""unit"":null,""topic"":""3.2"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-024,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-025,ap-physics-c-mechanics,frq,4.2,4.2,true,false,"{""unit"":null,""topic"":""4.2"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-026,ap-physics-c-mechanics,frq,4.4,4.4,true,false,"{""unit"":null,""topic"":""4.4"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-027,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-029,ap-physics-c-mechanics,frq,5.5,5.5,true,false,"{""unit"":null,""topic"":""5.5"",""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-030,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-031,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-032,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-033,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-034,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-035,ap-physics-c-mechanics,frq,"Work, Energy, and Power",,false,false,"{""unit"":3,""topic"":""Work, Energy, and Power"",""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-036,ap-physics-c-mechanics,frq,Force and Translational Dynamics,,false,false,"{""unit"":2,""topic"":""Force and Translational Dynamics"",""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-037,ap-physics-c-mechanics,frq,Torque and Rotational Dynamics,,false,false,"{""unit"":5,""topic"":""Torque and Rotational Dynamics"",""modules"":[""physics-full-scale-frq-structure-2026-07-25""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-044,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-047,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-1-kinematics"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-049,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-050,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-2-force-and-translational-dynamics"",""practice-4""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-051,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
