template_family,item_count,content_keys
legacy:frq:1.2,4,apphycm-frq-001|apphycm-frq-008|apphycm-frq-015|apphycm-frq-047
legacy:frq:7.1,3,apphycm-frq-003|apphycm-frq-010|apphycm-frq-024
legacy:frq:4.2,3,apphycm-frq-004|apphycm-frq-011|apphycm-frq-025
legacy:frq:5.6,2,apphycm-frq-005|apphycm-frq-012
legacy:frq:7.5,1,apphycm-frq-007
legacy:frq:2.9,3,apphycm-frq-009|apphycm-frq-016|apphycm-frq-018
legacy:frq:5.4,1,apphycm-frq-013
legacy:frq:1.5,1,apphycm-frq-017
legacy:frq:2.10,2,apphycm-frq-019|apphycm-frq-050
legacy:frq:2.6,1,apphycm-frq-020
legacy:frq:3.2,2,apphycm-frq-022|apphycm-frq-049
legacy:frq:4.4,2,apphycm-frq-026|apphycm-frq-027
legacy:frq:5.5,1,apphycm-frq-029
unit-hint:frq:6.6,1,apphycm-frq-030
unit-hint:frq:3.4,1,apphycm-frq-031
unit-hint:frq:6.3,1,apphycm-frq-032
unit-hint:frq:6.2,1,apphycm-frq-033
unit-hint:frq:7.4,1,apphycm-frq-034
unit-hint:frq:7.1,1,apphycm-frq-035
unit-hint:frq:2.9,1,apphycm-frq-036
unit-hint:frq:5.6,1,apphycm-frq-037
legacy:frq:7.4,1,apphycm-frq-044
legacy:frq:3.4,1,apphycm-frq-051
legacy:mcq:1.2,4,apphycm-mcq-001|apphycm-mcq-002|apphycm-mcq-017|apphycm-mcq-021
legacy:mcq:3.2,3,apphycm-mcq-003|apphycm-mcq-018|apphycm-mcq-027
legacy:mcq:7.1,1,apphycm-mcq-005
legacy:mcq:3.3,4,apphycm-mcq-006|apphycm-mcq-008|apphycm-mcq-024|apphycm-mcq-028
legacy:mcq:3.5,2,apphycm-mcq-007|apphycm-mcq-030
legacy:mcq:4.2,2,apphycm-mcq-009|apphycm-mcq-032
legacy:mcq:4.3,2,apphycm-mcq-010|apphycm-mcq-033
legacy:mcq:5.1,1,apphycm-mcq-011
legacy:mcq:6.2,1,apphycm-mcq-012
legacy:mcq:5.4,1,apphycm-mcq-013
legacy:mcq:6.3,2,apphycm-mcq-014|apphycm-mcq-038
legacy:mcq:7.5,2,apphycm-mcq-015|apphycm-mcq-020
legacy:mcq:7.2,2,apphycm-mcq-016|apphycm-mcq-041
legacy:mcq:5.6,2,apphycm-mcq-019|apphycm-mcq-036
legacy:mcq:1.3,1,apphycm-mcq-022
legacy:mcq:2.2,1,apphycm-mcq-023
legacy:mcq:2.9,1,apphycm-mcq-025
legacy:mcq:2.10,1,apphycm-mcq-026
legacy:mcq:3.4,1,apphycm-mcq-029
legacy:mcq:4.1,1,apphycm-mcq-031
legacy:mcq:4.4,1,apphycm-mcq-034
legacy:mcq:5.3,1,apphycm-mcq-035
legacy:mcq:6.1,1,apphycm-mcq-037
legacy:mcq:6.5,1,apphycm-mcq-039
legacy:mcq:6.6,1,apphycm-mcq-040
legacy:mcq:7.4,1,apphycm-mcq-042
