content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apprecalc-frq-001,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-1-polynomial-and-rational-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-002,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-2-exponential-and-logarithmic-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-003,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-3-trigonometric-and-polar-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-004,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-1-polynomial-and-rational-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-1"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-005,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-1-polynomial-and-rational-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-006,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apprecalc-frq-007,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apprecalc-frq-009,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-3-trigonometric-and-polar-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-010,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-3-trigonometric-and-polar-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-2"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
apprecalc-frq-011,ap-precalculus,frq,,,false,false,"{""unit"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":[{""node_key"":""unit-3-trigonometric-and-polar-functions"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""},{""node_key"":""practice-3"",""scheme_key"":""ap-precalculus-2025-26"",""scheme_version"":""1.0.0""}]}"
