template_family,item_count,content_keys
legacy:frq:1.4,2,apprecalc-frq-001|apprecalc-frq-017
legacy:frq:2.10,2,apprecalc-frq-002|apprecalc-frq-018
legacy:frq:3.6,1,apprecalc-frq-003
legacy:frq:2.8,1,apprecalc-frq-004
legacy:frq:1.14,3,apprecalc-frq-005|apprecalc-frq-022|apprecalc-frq-024
legacy:frq:1.7,1,apprecalc-frq-006
legacy:frq:2.5,3,apprecalc-frq-007|apprecalc-frq-023|apprecalc-frq-025
legacy:frq:3.7,8,apprecalc-frq-009|apprecalc-frq-010|apprecalc-frq-011|apprecalc-frq-027|apprecalc-frq-028|apprecalc-frq-029|apprecalc-frq-030|apprecalc-frq-031
legacy:frq:3.14,1,apprecalc-frq-012
legacy:frq:1.6,1,apprecalc-frq-013
legacy:frq:2.13,4,apprecalc-frq-014|apprecalc-frq-032|apprecalc-frq-033|apprecalc-frq-036
legacy:frq:3.10,2,apprecalc-frq-015|apprecalc-frq-035
legacy:frq:3.13,1,apprecalc-frq-016
legacy:frq:1.10,1,apprecalc-frq-019
legacy:frq:2.6,1,apprecalc-frq-020
legacy:frq:2.11,1,apprecalc-frq-021
legacy:frq:2.14,1,apprecalc-frq-026
legacy:frq:3.9,1,apprecalc-frq-034
np2:frq:undetermined,4,apprecalc-frq-np2-001|apprecalc-frq-np2-004|apprecalc-frq-np2-007|apprecalc-frq-np2-010
np2:frq:1.4,1,apprecalc-frq-np2-002
np2:frq:3.7,2,apprecalc-frq-np2-003|apprecalc-frq-np2-006
np2:frq:1.10,1,apprecalc-frq-np2-005
np2:frq:1.6,1,apprecalc-frq-np2-008
np2:frq:2.5,1,apprecalc-frq-np2-009
u12:frq:2.9,1,apprecalc-frq-u12-002
u12:frq:1.11,1,apprecalc-frq-u12-003
u12:frq:1.14,2,apprecalc-frq-u12-004|apprecalc-frq-u12-015
u12:frq:1.9,1,apprecalc-frq-u12-005
u12:frq:2.5,1,apprecalc-frq-u12-006
u12:frq:2.13,2,apprecalc-frq-u12-007|apprecalc-frq-u12-019
u12:frq:1.6,1,apprecalc-frq-u12-008
u12:frq:2.8,1,apprecalc-frq-u12-009
u12:frq:1.4,1,apprecalc-frq-u12-010
u12:frq:1.5,1,apprecalc-frq-u12-011
u12:frq:2.14,1,apprecalc-frq-u12-012
u12:frq:1.10,1,apprecalc-frq-u12-013
u12:frq:2.12,1,apprecalc-frq-u12-014
u12:frq:2.6,1,apprecalc-frq-u12-016
u12:frq:2.15,1,apprecalc-frq-u12-017
u12:frq:1.7,1,apprecalc-frq-u12-018
u12:frq:1.13,1,apprecalc-frq-u12-020
legacy:mcq:1.2,1,apprecalc-mcq-001
legacy:mcq:1.6,2,apprecalc-mcq-002|apprecalc-mcq-023
legacy:mcq:1.10,2,apprecalc-mcq-003|apprecalc-mcq-025
legacy:mcq:1.5,3,apprecalc-mcq-004|apprecalc-mcq-022|apprecalc-mcq-028
legacy:mcq:1.13,2,apprecalc-mcq-005|apprecalc-mcq-027
legacy:mcq:2.7,2,apprecalc-mcq-006|apprecalc-mcq-036
legacy:mcq:1.7,1,apprecalc-mcq-007
legacy:mcq:2.5,2,apprecalc-mcq-008|apprecalc-mcq-013
legacy:mcq:2.13,3,apprecalc-mcq-009|apprecalc-mcq-011|apprecalc-mcq-034
legacy:mcq:2.10,2,apprecalc-mcq-010|apprecalc-mcq-035
legacy:mcq:2.6,2,apprecalc-mcq-012|apprecalc-mcq-037
legacy:mcq:2.11,1,apprecalc-mcq-014
legacy:mcq:3.3,2,apprecalc-mcq-015|apprecalc-mcq-041
legacy:mcq:3.5,2,apprecalc-mcq-016|apprecalc-mcq-043
legacy:mcq:3.10,1,apprecalc-mcq-017
legacy:mcq:3.9,1,apprecalc-mcq-018
legacy:mcq:3.13,1,apprecalc-mcq-019
legacy:mcq:3.14,2,apprecalc-mcq-020|apprecalc-mcq-049
legacy:mcq:1.9,1,apprecalc-mcq-024
legacy:mcq:1.12,1,apprecalc-mcq-026
legacy:mcq:1.8,1,apprecalc-mcq-029
legacy:mcq:1.4,2,apprecalc-mcq-030|apprecalc-mcq-031
legacy:mcq:2.3,1,apprecalc-mcq-032
legacy:mcq:2.4,1,apprecalc-mcq-033
legacy:mcq:2.15,1,apprecalc-mcq-038
legacy:mcq:2.14,1,apprecalc-mcq-040
legacy:mcq:3.7,1,apprecalc-mcq-045
legacy:mcq:3.12,1,apprecalc-mcq-047
np2:mcq:1.6,1,apprecalc-mcq-np2-001
np2:mcq:1.10,1,apprecalc-mcq-np2-002
np2:mcq:2.6,1,apprecalc-mcq-np2-003
np2:mcq:2.12,1,apprecalc-mcq-np2-004
np2:mcq:2.13,1,apprecalc-mcq-np2-005
np2:mcq:3.5,1,apprecalc-mcq-np2-006
np2:mcq:3.3,1,apprecalc-mcq-np2-007
np2:mcq:3.13,1,apprecalc-mcq-np2-008
np2:mcq:1.4,1,apprecalc-mcq-np2-009
np2:mcq:3.11,1,apprecalc-mcq-np2-010
